FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
김달환,경기도 이천시 율면 신추리,20031225,415003
한성농장,경기도 이천시 장호원읍 나래리,20150126,415003
김달환,경기도 이천시 율면 본죽리,20140422,415003
정승헌,경기도 이천시 설성면 장천리,20150225,415003
(주)한농,경기도 이천시 율면 석산리,20140508,416498
신현문,경기도 이천시 설성면 장능리,20110121,415002
용수농장(1),경기도 이천시 설성면 장천리 482번지,20110122,416210
김영환,경기도 이천시 설성면 행죽리,20110114,415005
김학주,경기도 이천시 설성면 상봉리,20110217,415005
대풍농장,경기도 이천시 장호원읍 선읍리 748번지,20161224,416498
한성농장,경기도 이천시 장호원읍 나래리,20161224,415003
설성양계,"경기도 이천시 설성면 장천리 188번지 ,188-7,188-8,188-12",20161129,415003
광명농장,경기도 이천시 부발읍 가산리,20161129,415003
,경기도 이천시 설성면 신필리,20161203,416230
성원축산,경기도 이천시 장호원읍 진암리 334번지 2통,20161207,416230
한국양계,경기도 이천시 설성면 행죽리,20161207,415005
,경기도 이천시 대월면 초지리,20161207,415003
김달환(윤호중),경기도 이천시 율면 본죽리,20161214,415003
,경기도 이천시 장호원읍 진암리,20161214,415003
,경기도 이천시 장호원읍 선읍리,20161216,415003
이천농축원,경기도 이천시 대월면 대흥리 104번지 5호,20161216,415003
,경기도 이천시 대월면 대대리,20161216,416230
,경기도 이천시 설성면 신필리,20161218,415002
이영희,경기도 이천시 장호원읍 와현리,20161230,415003
,경기도 이천시 율면 석산리,20161206,416498
,경기도 이천시 설성면 암산리,20161210,415002
신현문,경기도 이천시 설성면 장능리,20161209,415003
홍재수,경기도 이천시 장호원읍 와현리,20161220,415005
서울종계장,경기도 이천시 장호원읍 와현리 417번지 20호,20210127,415005
우리축산,경기도 이천시 백사면 도립리 278번지 2호,20210214,415003
,경기도 이천시 부발읍 가산리,20210214,415003
농업회사법인 나래 주식회사,경기도 이천시 장호원읍 나래리 546,20210122,415003
정기농장,경기도 이천시 율면 신추리 840-1번지,20210130,415003
설성양계,"경기도 이천시 설성면 장천리 188번지 ,188-7,188-8,188-12",20210202,415003
한국양계TS,경기도 이천시 장호원읍 어석리,20210223,415005
지옥순,경기도 이천시 설성면 신필리,20161209,415003
솔잎,경기도 이천시 마장면 이치리,20160323,416210
월포,경기도 이천시 율면 월포리,20161220,415006
김동수,경기도 이천시 율면 신추리,20161220,415003
상지농장농업회사법인주식회사,경기도 이천시 마장면 해월리 28-6,20221127,415003
