FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
중원농장,경기도 평택시 포승면 석정리,20080414,415003
최낙현,경기도 평택시 청북면 고잔리,20140312,415003
손석현,경기도 평택시 팽성읍 대사리,20140225,416210
(주)조인송탄,경기도 평택시 고덕면 율포리,20140304,415006
이명숙,경기도 평택시 안중읍 성해리 80번지,20110207,415099
김욱철,경기도 평택시 팽성읍 대사리,20110125,415005
(주)양지농장,경기도 평택시 고덕면 동고리,20161222,415003
이명옥,경기도 평택시 포승읍 석정리 산 165번지 4호,20161228,416230
구구청북농장,경기도 평택시 청북면 삼계리 62번지 3호,20161220,415005
(주)조인,경기도 평택시 청북면 고잔리,20161207,415003
손윤권,경기도 평택시 팽성읍 대사리,20161216,416210
,경기도 평택시 서탄면 회화리,20161216,415003
,경기도 평택시 청북읍 한산리,20161218,415005
,경기도 평택시 포승읍 도곡리,20161230,415005
(주)인주,경기도 평택시 오성면 안화리,20161226,415098
길음,경기도 평택시 오성면 길음리,20161228,415003
정원오리농장,경기도 평택시 고덕면 용소금각로 364 (외 2필지),20161220,416299
(주)성주,경기도 평택시 팽성읍 대사리,20210211,415003
거창농장,경기도 평택시 청북읍 고잔1길 35-20,20201229,415003
노지영,경기도 평택시 오성면 양교리 281-3,20180318,415003
(주)양지바른,경기도 평택시 고덕면 동고리,20210216,415003
,경기도 평택시 포승읍 홍원리,20161224,415003
,경기도 평택시 팽성읍 대사리,20161224,415003
새천년,경기도 평택시 고덕면 두릉리,20161201,416240
성재농장2,경기도 평택시 청북읍 고잔리,20180128,415003
선천축산,"경기도 평택시 포승읍 곡교길 125-35 (,1068-6번지)",20230112,415006
덕수농장,경기도 평택시 서탄면 마두길 59-248,20220208,415003
중원축산,경기도 평택시 포승읍 석정로 218-33,20221124,415003
경훈종계장,경기도 평택시 포승읍 석정리 583번지,20221118,415003
성재농장,경기도 평택시 청북읍 청북중앙로 681-25,20251115,415003
영신농장,경기도 평택시 청북읍 백봉길 372-52,20251202,415003
(주)양지바른,경기도 평택시 고덕면 동고리,20251225,415098
