FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
허장강,경기도 화성시 서신면 전곡리,20140130,415005
홍사언,경기도 화성시 온석동,20140211,415005
황인채,경기도 화성시 팔탄면 율암리,20140211,416230
이순종,경기도 화성시 온석동,20140211,415006
대림농장,경기도 화성시 팔탄면 율암리 625번지 2호,20140217,415003
김준환,경기도 화성시 온석동,20140228,415003
홍봉유,경기도 화성시 남양읍 온석리,20140212,416230
강석배,경기도 화성시 팔탄면 서근리,20110210,416210
박래영,경기도 화성시 양감면 사창리,20161201,415005
,경기도 화성시 양감면 사창리,20161214,415003
김준환,경기도 화성시 남양읍 온석리,20170105,415003
서신 3농장,경기도 화성시 남양읍 온석리,20170105,415003
,경기도 화성시 남양읍 온석리,20170109,415006
,경기도 화성시 우정읍 매향리,20161220,415003
봉황농장,경기도 화성시 만세구 남양읍 신남리 906-16,20201217,415003
,경기도 화성시 양감면 사창리,20210124,415003
,경기도 화성시 팔탄면 구장리,20210218,415003
양지뜰 향남농장,경기도 화성시 만세구 향남읍 상신리 1050,20201223,415003
,경기도 화성시 팔탄면 구장리,20180127,415003
,경기도 화성시 남양읍 장덕리,20170114,415006
서경화,경기도 화성시 팔탄면 율암리,20170125,415003
김완호,경기도 화성시 마도면 청원리,20170125,415002
양지뜰 향남농장,경기도 화성시 만세구 향남읍 상신리 1050,20220123,415003
세종농장,경기도 화성시 만세구 남양읍 온석리 197-1,20220123,415003
제이피에프,경기도 화성시 만세구 향남읍 구문천리 784,20221117,415005
김문배,경기도 화성시 팔탄면 노하리,20241222,415002
제이피에프,경기도 화성시 만세구 향남읍 구문천리 784,20251110,415011
양지뜰 향남농장,경기도 화성시 만세구 향남읍 상신리 1050,20251116,415003
