ICTSD_OCCRRNC_NO,LKNTS_NM,FARM_NM,FARM_LOCPLC_LEGALDONG_CODE,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE,LVSTCKSPC_NM,OCCRRNC_LVSTCKCNT,DGNSS_ENGN_CODE,DGNSS_ENGN_NM,CESSATION_DE
103358,고병원성 조류인플루엔자,(주)한우리,4157025025,경기도 김포시 통진읍 가현리,20150203,415003,닭-산란계,107000.0,1543084,조류질병과,
141450,고병원성 조류인플루엔자,김병갑,4157034026,경기도 김포시 대곶면 초원지리,20161218,415002,닭-토종닭,0.0,1543084,조류질병과,
142126,고병원성 조류인플루엔자,,4157025025,경기도 김포시 통진읍 가현리,20161224,415003,닭-산란계,,1543084,조류질병과,
230641,고병원성조류인플루엔자,장락농장,4157034031,경기도 김포시 대곶면 쇄암리,20210109,415003,닭-산란계,0.0,1543418,조류인플루엔자연구진단과,
229542,고병원성조류인플루엔자,봉골농장,4157035021,경기도 김포시 월곶면 군하리,20201230,415003,닭-산란계,0.0,1543418,조류인플루엔자연구진단과,
228944,고병원성조류인플루엔자,써니농장,4157025025,경기도 김포시 통진읍 가현리,20201213,415003,닭-산란계,0.0,1543418,조류인플루엔자연구진단과,
229661,고병원성조류인플루엔자,김포자연농장,4157025024,경기도 김포시 통진읍 수참리,20210101,415003,닭-산란계,0.0,1543418,조류인플루엔자연구진단과,
145001,고병원성조류인플루엔자,,4157036025,경기도 김포시 하성면 마조리,20170125,416498,메추리-비분류,,1543084,조류질병과,
392955,고병원성조류인플루엔자,김포자연농장,4157025024,경기도 김포시 통진읍 수참리,20241220,415003,닭-산란계,0.0,1543418,조류인플루엔자연구진단과,
299578,고병원성조류인플루엔자,김포아라농장,4157036022,경기도 김포시 하성면 석탄리,20230103,415003,닭-산란계,0.0,1543418,조류인플루엔자연구진단과,
