ICTSD_OCCRRNC_NO,LKNTS_NM,FARM_NM,FARM_LOCPLC_LEGALDONG_CODE,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE,LVSTCKSPC_NM,OCCRRNC_LVSTCKCNT,DGNSS_ENGN_CODE,DGNSS_ENGN_NM,CESSATION_DE
5635,고병원성 조류인플루엔자,김달환,4150038022,경기도 이천시 율면 신추리,20031225,415003,닭-산란계,100.0,6410603,경기 동부지소,
5689,고병원성 조류인플루엔자,김달환,4150038022,경기도 이천시 율면 신추리,20031225,415003,닭-산란계,100.0,6410603,경기 동부지소,
102975,고병원성 조류인플루엔자,한성농장,4150025030,경기도 이천시 장호원읍 나래리,20150126,415003,닭-산란계,6.0,1543084,조류질병과,
88507,고병원성 조류인플루엔자,김달환,4150038023,경기도 이천시 율면 본죽리,20140422,415003,닭-산란계,218.0,1543084,조류질병과,
104201,고병원성 조류인플루엔자,정승헌,4150037026,경기도 이천시 설성면 장천리,20150225,415003,닭-산란계,6.0,1543084,조류질병과,
89389,고병원성 조류인플루엔자,(주)한농,4150038026,경기도 이천시 율면 석산리,20140508,416498,메추리-비분류,100.0,1543084,조류질병과,
35485,고병원성 조류인플루엔자,신현문,4150037022,경기도 이천시 설성면 장능리,20110121,415002,닭-토종닭,600.0,1541682,질병진단센터,20110122.0
35500,고병원성 조류인플루엔자,용수농장(1),4150037026,경기도 이천시 설성면 장천리,20110122,416210,오리-종오리,2000.0,1541682,질병진단센터,20110207.0
35545,고병원성 조류인플루엔자,김영환,4150037023,경기도 이천시 설성면 행죽리,20110114,415005,닭-종계,10.0,1541002,국립수의과학검역원,
35791,고병원성 조류인플루엔자,김학주,4150037030,경기도 이천시 설성면 상봉리,20110217,415005,닭-종계,50.0,1541002,국립수의과학검역원,
141993,고병원성 조류인플루엔자,대풍농장,4150025028,경기도 이천시 장호원읍 선읍리,20161224,416498,메추리-비분류,,1543084,조류질병과,
141996,고병원성 조류인플루엔자,한성농장,4150025030,경기도 이천시 장호원읍 나래리,20161224,415003,닭-산란계,,1543084,조류질병과,
140691,고병원성 조류인플루엔자,설성양계,4150037026,경기도 이천시 설성면 장천리,20161129,415003,닭-산란계,0.0,1543084,조류질병과,
140692,고병원성 조류인플루엔자,광명농장,4150025333,경기도 이천시 부발읍 가산리,20161129,415003,닭-산란계,0.0,1543084,조류질병과,
140702,고병원성 조류인플루엔자,,4150037025,경기도 이천시 설성면 신필리,20161203,416230,오리-육용오리,0.0,1543084,조류질병과,
140846,고병원성 조류인플루엔자,성원축산,4150036027,경기도 이천시 모가면 원두리,20161207,416230,오리-육용오리,0.0,1543084,조류질병과,
140848,고병원성 조류인플루엔자,한국양계,4150037023,경기도 이천시 설성면 행죽리,20161207,415005,닭-종계,0.0,1543084,조류질병과,
140855,고병원성 조류인플루엔자,,4150035025,경기도 이천시 대월면 초지리,20161207,415003,닭-산란계,0.0,1543084,조류질병과,
141349,고병원성 조류인플루엔자,김달환(윤호중),4150038023,경기도 이천시 율면 본죽리,20161214,415003,닭-산란계,0.0,1543084,조류질병과,
141350,고병원성 조류인플루엔자,,4150025023,경기도 이천시 장호원읍 진암리,20161214,415003,닭-산란계,0.0,1543084,조류질병과,
141378,고병원성 조류인플루엔자,,4150025028,경기도 이천시 장호원읍 선읍리,20161216,415003,닭-산란계,0.0,1543084,조류질병과,
141385,고병원성 조류인플루엔자,이천농축원,4150035028,경기도 이천시 대월면 대흥리,20161216,415003,닭-산란계,0.0,1543084,조류질병과,
141386,고병원성 조류인플루엔자,,4150035027,경기도 이천시 대월면 대대리,20161216,416230,오리-육용오리,0.0,1543084,조류질병과,
141457,고병원성 조류인플루엔자,,4150037025,경기도 이천시 설성면 신필리,20161218,415002,닭-토종닭,0.0,1543084,조류질병과,
