시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
가평군,광진,삼계,12463,,경기도 가평군 설악면 위곡리 373-3,127.5169496,37.6522827,74000,2018-03-14,,,
가평군,광진,육계,12463,,경기도 가평군 설악면 위곡리 373-3,37.6522827026,127.5169496308,74000,2021-09-30,닭,20210628.0,
가평군,광진,육계,12463,,경기도 가평군 설악면 위곡리 373-3,37.6522827026,127.5169496308,30000,2026-02-26,닭,20230807.0,
가평군,광진,육계,12463,,경기도 가평군 설악면 위곡리 373-3,37.6522827,127.5169496,74000,2020-05-31,닭,20181130.0,
가평군,광진,백세미,12463,경기도 가평군 설악면 한서로210번길 187,경기도 가평군 설악면 위곡리 376-1,127.5171965994,37.6535880187,70000,2018-09-30,,,
가평군,광진,육계,17163,경기도 용인시 처인구 양지면 평창로154번길 30,경기도 용인시 처인구 양지면 평창리 187번지,37.2348556,127.3213682,74000,2019-01-31,닭,,
가평군,꼬꼬,육계,12409,경기도 가평군 가평읍 각담말길 115-10,경기도 가평군 가평읍 마장리 228-1번지,127.5146837,37.8681227,120000,2018-04-30,,,
가평군,다손,육계,12469,,경기도 가평군 설악면 천안리 126-1,37.6347836491,127.4833062994,45000,2025-07-31,닭,20230807.0,
가평군,다손,육계,12469,,경기도 가평군 설악면 천안리 126-1,37.6347837414,127.4832836418,45000,2020-11-30,닭,20200618.0,
가평군,다손,육계,12469,경기도 가평군 설악면 유명로 1108-30,경기도 가평군 설악면 천안리 156-2,127.4822784619,37.6370312304,45000,2018-10-31,,,
가평군,다손,육계,12469,,경기도 가평군 설악면 천안1리126-1,127.4832836,37.6347837,45000,2018-08-31,,,
가평군,다손,육계,12469,,경기도 가평군 설악면 천안리 126-1,37.6347837,127.4832836,45000,2020-05-31,닭,20181130.0,
가평군,다손,육계,17121,경기도 용인시 처인구 남사면 경기동로 460,경기도 용인시 처인구 남사면 창리 559번지,37.1385079,127.1723787,45000,2018-12-31,닭,,
가평군,대기,산란계,12469,경기도 가평군 설악면 유명로 1090-246,경기도 가평군 설악면 천안리 3-4,127.4888898036,37.6362563835,160000,2018-09-30,,,
