시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
고양시,강○○,오리,10299.0,경기도 고양시 일산동구 사리현로 96,경기도 고양시 일산동구 식사동 산 12번지 3호,126.8298394407,37.6886837238,7000,2018-10-31,,,
고양시,강○○,산란계,10329.0,경기도 고양시 일산동구 중산로 306-142,경기도 고양시 일산동구 성석동 1294번지 1호,126.7893137558,37.6986540114,100,2018-09-30,,,
고양시,강매농장,산란계,10441.0,경기도 고양시 덕양구 강매로 136,경기도 고양시 덕양구 강매동 662-2번지,37.6001914,126.8433162,1000,2019-05-31,닭,20181206.0,
고양시,강매농장,산란계,10441.0,경기도 고양시 덕양구 강매로 136 (강매동),경기도 고양시 덕양구 강매동 252번지,37.6003751878,126.8433147644,1000,2025-05-31,닭,20231208.0,
고양시,강매농장,산란계,10441.0,경기도 고양시 덕양구 강매로 136,경기도 고양시 덕양구 강매동 662-2번지,37.6003751878,126.8433147644,1000,2021-11-30,닭,20210624.0,
고양시,강범농장,육계,10305.0,경기도 고양시 일산동구 고일로 60-7,경기도 고양시 일산동구 식사동 1087번지,37.668379,126.8032623,30,2020-04-30,닭,20181206.0,
고양시,강아지나라,산란계,10265.0,,경기도 고양시 덕양구 관산동 614번지 5호,37.7135382,126.8690901,20,2018-12-31,닭,,
고양시,경오농장,육계,10454.0,,경기도 고양시 덕양구 주교동 1404번지 0호,37.654187429,126.8190406808,120,2021-09-30,닭,20210624.0,
고양시,경오농장,육계,10454.0,,경기도 고양시 덕양구 주교동 1404번지 0호,37.6541874,126.8190406,120,2021-04-30,닭,20181206.0,
고양시,고○○,육계,10255.0,경기도 고양시 일산동구 공릉천로 406-124,경기도 고양시 일산동구 지영동 562번지,126.8319829443,37.7278696059,52000,2018-10-31,,,
고양시,고골농장,육계,10265.0,,경기도 고양시 덕양구 관산동 605번지 13호,37.7125994,126.867538,1000,2019-01-31,닭,,
고양시,고골농장,육계,10265.0,경기도 고양시 덕양구 관산동 605번지 13호,경기도 고양시 덕양구 관산동 605번지 13호,,,1000,2026-02-26,닭,20231208.0,
고양시,고골농장,육계,10265.0,,경기도 고양시 덕양구 관산동 605번지 13호,37.7125994897,126.8675380965,1000,2021-06-30,닭,20210624.0,
고양시,고양양계,육계,10255.0,"경기도 고양시 일산동구 공릉천로 406-124, 1동 (지영동)",경기도 고양시 일산동구 지영동 562번지,37.7278484649,126.8318528526,18000,2021-11-30,닭,20210624.0,
고양시,고양축산영농조합법인,육계,10255.0,경기도 고양시 일산동구 공릉천로 406-124,경기도 고양시 일산동구 지영동 562번지,37.7278484649,126.8318528526,39000,2021-09-30,닭,20210624.0,
고양시,고양축산영농조합법인,육계,17168.0,경기도 용인시 처인구 원삼면 원양로124번길 32-3,경기도 용인시 처인구 원삼면 고당리 150번지 6호 외 3필지,37.1728636,127.3114244,52000,2019-01-31,닭,,
고양시,고양축산영농조합법인,육계,10255.0,경기도 고양시 일산동구 공릉천로 406-124,경기도 고양시 일산동구 지영동 562번지,37.7278696,126.8319829,52000,2020-04-30,닭,20181206.0,
