시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
김포시,OK농장,산란계,10050.0,경기도 김포시 대곶면 천호로116번길 17,경기도 김포시 대곶면 대벽리 1020번지,37.6172325,126.5661218,60000,2020-01-31,닭,20181204.0,
김포시,OK농장,산란계,12613.0,경기도 여주시 북내면 신남1길 88,경기도 여주시 북내면 신남리 56번지,37.3300745,127.6699681,60000,2019-01-31,닭,,
김포시,가우농장,산란계,10030.0,경기도 김포시 통진읍 가현로149번길 151-13,경기도 김포시 통진읍 가현리 633번지,126.5849462,37.677709,16000,2018-03-14,,,
김포시,가우농장,산란계,10030.0,경기도 김포시 통진읍 가현로149번길 151-13,경기도 김포시 통진읍 가현리 산50-3번지,37.6775432,126.5853789,16000,2020-01-31,닭,20181204.0,
김포시,가우농장,산란계,10030.0,경기도 김포시 통진읍 가현로149번길 151-13,경기도 김포시 통진읍 가현리 633번지,37.6775322074,126.5853734062,16000,2025-08-31,닭,20191202.0,
김포시,가우농장,산란계,12661.0,경기도 여주시 가남읍 흑석로 75,경기도 여주시 가남읍 심석리 24-6번지,37.1962265,127.5644581,16000,2019-01-31,닭,,
김포시,가현농장,산란계,10030.0,경기도 김포시 통진읍 가현로 129,경기도 김포시 통진읍 가현리 604번지 6호 외 2필지,126.5881461,37.6750985,40000,2018-08-31,,,
김포시,가현농장,산란계,10030.0,,경기도 김포시 통진읍 가현리 607번지,,,9700,2020-11-30,닭,20191202.0,
김포시,가현농장,산란계,10030.0,,경기도 김포시 통진읍 가현리 산 50번지,37.6782104088,126.5840366219,8000,2020-11-30,닭,20191202.0,
김포시,가현농장,산란계,10030.0,,경기도 김포시 통진읍 가현리 607번지,126.5876762,37.6760159,9700,2018-08-31,,,
김포시,가현농장,산란계,10030.0,경기도 김포시 통진읍 가현로 129,경기도 김포시 통진읍 가현리 604번지 6호 외 2필지,37.6751797644,126.588168356,40000,2021-11-30,닭,20191202.0,
김포시,가현농장,산란계,,,경기도 김포시 통진읍 가현리 산 50번지,126.5843893,37.6820137,8000,2018-08-31,,,
김포시,가현농장,산란계,10030.0,경기도 김포시 통진읍 가현로 129,경기도 김포시 통진읍 가현리 605번지,37.6748704,126.5879008,40000,2018-12-31,닭,,
김포시,가현농장,산란계,12634.0,경기도 여주시 매룡2길 9-15,경기도 여주시 매룡동 49번지,37.2803892,127.6642186,40000,2019-01-31,닭,,
김포시,갈산농장,육계,10025.0,경기도 김포시 월곶면 군하로 134-34,경기도 김포시 월곶면 갈산리 440-1번지,37.7059402,126.561354,260,2019-02-28,닭,20181204.0,
김포시,갈산농장,육계,10025.0,경기도 김포시 월곶면 군하로 134-34,경기도 김포시 월곶면 갈산리 440번지 1호,37.7059418899,126.5613487353,260,2021-04-30,닭,20191202.0,
김포시,갈산농장,육계,10025.0,경기도 김포시 월곶면 군하로 134-34,경기도 김포시 월곶면 갈산리 440번지 1호,126.5613374,37.705841,260,2018-09-30,,,
김포시,거목농장,육계,10010.0,경기도 김포시 통진읍 월하로 586-62,경기도 김포시 통진읍 귀전리 712번지 2호,37.7082536404,126.619154891,60000,2021-06-30,닭,20191202.0,
김포시,거목농장,육계,10010.0,경기도 김포시 통진읍 월하로 586-62,경기도 김포시 통진읍 귀전리 712번지 2호,126.6196141,37.7078738,60000,2018-09-30,,,
김포시,공주양계장,육계,10045.0,,경기도 김포시 양촌읍 유현리 441번지,37.634216157,126.6156197877,12000,2025-08-31,닭,20191202.0,
김포시,공주양계장,육계,10045.0,,경기도 김포시 양촌읍 유현리 441번지,37.6342302,126.615611,12000,2019-06-30,닭,20181204.0,
김포시,공주양계장,육계,10045.0,,경기도 김포시 양촌읍 유현리 441번지,126.6156197,37.6342161,12000,2018-08-31,,,
김포시,규은농장,산란계,10124.0,경기도 김포시 고촌읍 신기신동로 23-10,경기도 김포시 고촌읍 신곡리 439번지 43호,37.6087058951,126.7729972627,14,2025-07-31,닭,20191202.0,
김포시,규은농장,산란계,10124.0,경기도 김포시 고촌읍 신기신동로 23-10,경기도 김포시 고촌읍 신곡리 439-43번지,37.6087145,126.7729897,14,2018-12-31,닭,,
김포시,규은농장,산란계,10124.0,경기도 김포시 고촌읍 신기신동로 23-10,경기도 김포시 고촌읍 신곡리 439번지 43호,126.773048,37.6086077,14,2018-04-30,,,
김포시,규환농장,육계,10006.0,경기도 김포시 하성면 하성로1091번길 37-14,경기도 김포시 하성면 시암리 491번지,37.7644981,126.6367157,250,2020-04-30,닭,20181204.0,
김포시,규환농장,육계,10006.0,경기도 김포시 하성면 하성로1091번길 37-14,경기도 김포시 하성면 시암리 491번지,37.7644987125,126.6367102929,250,2021-11-30,닭,20191202.0,
김포시,규환농장,육계,10006.0,경기도 김포시 하성면 하성로1091번길 37-14,경기도 김포시 하성면 시암리 491번지,126.6367774,37.7643639,250,2018-10-31,,,
김포시,금산농장,산란계,10052.0,경기도 김포시 양촌읍 금포로1491번길 369-11,경기도 김포시 양촌읍 누산리 1036-111번지,37.674718,126.659851,45000,2018-12-31,닭,,
김포시,금산농장,산란계,10052.0,경기도 김포시 양촌읍 금포로1491번길 369-11,경기도 김포시 양촌읍 누산리 1036번지 111호,37.6748584657,126.6596922374,45000,2021-06-30,닭,20191202.0,
김포시,금산농장,산란계,,,경기도 김포시 양촌읍 누산리 1036번지 111호,126.6463128,37.6715678,45000,2018-08-31,,,
김포시,금화농장,산란계,10025.0,경기도 김포시 월곶면 고양로 183-85,경기도 김포시 월곶면 고양리 630번지,37.6891258,126.5391846,227880,2019-12-31,닭,20181204.0,
김포시,금화농장,산란계,10025.0,경기도 김포시 월곶면 고양로 183-85,경기도 김포시 월곶면 고양리 629번지,37.6891343701,126.5391946813,227880,2021-07-31,닭,20191202.0,
김포시,금화농장,산란계,10025.0,경기도 김포시 월곶면 고양로 183-85,경기도 김포시 월곶면 고양리 629번지,126.539682,37.68882,227880,2018-04-30,,,
김포시,금화농장,산란계,12634.0,경기도 여주시 용강길 141-1,경기도 여주시 매룡동 223-2번지,37.2831936,127.6507795,227880,2019-01-31,닭,,
김포시,기원농장,육계,10029.0,경기도 김포시 통진읍 절골로25번길 98,경기도 김포시 통진읍 옹정리 294-3번지,37.6846195,126.5766852,24000,2019-02-28,닭,20181204.0,
김포시,기원농장,육계,10029.0,경기도 김포시 통진읍 절골로25번길 98,경기도 김포시 통진읍 옹정리 294번지 3호,126.576509,37.6842649,24000,2018-09-30,,,
김포시,기원농장,육계,10029.0,경기도 김포시 통진읍 절골로25번길 98,경기도 김포시 통진읍 옹정리 294번지 3호,37.6846208467,126.5766784703,24000,2025-07-31,닭,20191202.0,
김포시,기원농장,육계,12666.0,경기도 여주시 점동면 선사길 195,경기도 여주시 점동면 흔암리 210번지,37.2384726,127.6724958,24000,2019-01-31,닭,,
김포시,기철농장,육계,,,경기도 김포시 양촌읍 양곡리 821번지,37.6555979844,126.6330624888,19000,2025-08-31,닭,20191202.0,
김포시,기철농장,육계,,,경기도 김포시 양촌읍 양곡리 821번지,37.6556969,126.6330393,19000,2020-05-31,닭,20181204.0,
김포시,기철농장,육계,,,경기도 김포시 양촌읍 양곡리 821번지,126.6330624,37.6555979,19000,2018-04-30,,,
김포시,기철농장,육계,12654.0,경기도 여주시 우만2길 14-7,경기도 여주시 우만동 151-2번지,37.2571406,127.674273,19000,2019-01-31,닭,,
김포시,김포 자연 농장,산란계,10014.0,경기도 김포시 통진읍 하성로 105-106,경기도 김포시 통진읍 수참리 114-1번지,37.6854554,126.6259295,30000,2019-02-28,닭,20181204.0,
김포시,김포 자연 농장,산란계,10014.0,경기도 김포시 통진읍 하성로 105-106,경기도 김포시 통진읍 수참리 114번지 1호,37.6856695827,126.6255803816,30000,2021-07-31,닭,20191202.0,
김포시,김포 자연 농장,산란계,10014.0,경기도 김포시 통진읍 하성로 105-106,경기도 김포시 통진읍 수참리 114번지 1호,126.6259191,37.6855143,30000,2018-09-30,,,
김포시,김포 자연 농장,산란계,12660.0,경기도 여주시 가남읍 송림2길 25-11,경기도 여주시 가남읍 송림리 10번지,37.1878993,127.6379481,30000,2019-01-31,닭,,
김포시,김포동물농장,산란계,10076.0,경기도 김포시 김포대로 1148,경기도 김포시 운양동 213번지 12호,126.695555,37.6348298,170,2018-08-31,,,
김포시,김포동물농장,산란계,10076.0,경기도 김포시 김포대로 1148,경기도 김포시 운양동 213번지 12호,37.6347822025,126.6953685774,170,2026-01-31,닭,20191202.0,
김포시,김포메추리농장,산란계,10038.0,,경기도 김포시 통진읍 가현리 347번지 4호,37.669235,126.5867947,260000,2020-05-31,메추리,20181204.0,
김포시,김포축산,산란계,10064.0,경기도 김포시 양촌읍 석모1로 36,경기도 김포시 양촌읍 석모리 547번지 6호,37.6546750028,126.6592735703,11000,2021-09-30,닭,20191202.0,
김포시,김포축산,산란계,10064.0,경기도 김포시 양촌읍 석모1로 36,경기도 김포시 양촌읍 석모리 547번지 6호,126.6592221,37.6545689,11000,2018-10-31,,,
김포시,김포표고버섯농장,산란계,10009.0,,경기도 김포시 통진읍 고정리 352번지,37.7200385,126.5902885,100,2019-05-31,닭,20181204.0,
김포시,깻잎농원,육계,10123.0,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75-34번지,37.6176223,126.7674858,100,2018-12-31,닭,,
김포시,깻잎농원,육계,10123.0,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75번지 34호,126.7674593,37.6174983,100,2018-09-30,,,
김포시,깻잎농원,육계,10123.0,경기도 김포시 고촌읍 금포로491번길 35-20,경기도 김포시 고촌읍 풍곡리 75번지 34호,37.6176310179,126.7674827936,100,2021-06-30,닭,20191202.0,
김포시,나눔꿈터,산란계,10026.0,경기도 김포시 대곶면 쇄암로 182,경기도 김포시 대곶면 쇄암리 592번지,37.6836426,126.5380336,400,2019-07-31,닭,20181204.0,
김포시,농업회사법인 (주)봉골농장,산란계,10024.0,,"경기도 김포시 월곶면 군하리 323번지 2호 ,323-70번지",37.7075211,126.5535892,83000,2018-12-31,닭,,
김포시,농업회사법인 (주)봉골농장,산란계,12654.0,경기도 여주시 우만2길 3-7,경기도 여주시 우만동 155-3번지,37.2555848,127.67533,83000,2019-01-31,닭,,
김포시,농업회사법인 (주)제일영농,육계,10012.0,,경기도 김포시 하성면 석탄리 734번지 7호,37.7204533762,126.6521694527,1000,2025-05-31,닭,20191202.0,
김포시,농업회사법인 (주)제일영농,육계,10012.0,,경기도 김포시 하성면 석탄리 734번지 7호,37.7205096,126.6521989,1000,2019-06-30,닭,20181204.0,
김포시,농업회사법인 (주)제일영농,육계,10012.0,,경기도 김포시 하성면 석탄리 734번지 7호,126.6521694,37.7204533,1000,2018-04-30,,,
김포시,농업회사법인 주안 주식회사,산란계,10033.0,경기도 김포시 통진읍 율마로276번길 45-2,경기도 김포시 통진읍 가현리 798번지,37.6758562,126.601077,140000,2019-07-31,닭,20181204.0,
김포시,담안에 농원,산란계,10006.0,경기도 김포시 하성면 하성로 1197-10,경기도 김포시 하성면 시암리 140-1번지,37.7667599,126.6453454,300,2019-01-31,닭,,
김포시,담안에 농원,육계,10006.0,경기도 김포시 하성면 하성로 1197-10,경기도 김포시 하성면 시암리 140번지 2호,37.766751828,126.6453469576,300,2025-04-30,닭,20191202.0,
김포시,담안에 농원,육계,10006.0,경기도 김포시 하성면 하성로 1197-10,경기도 김포시 하성면 시암리 140번지 2호,126.6452782,37.7666154,300,2018-08-31,,,
김포시,대곶농장,육계,10040.0,,경기도 김포시 대곶면 율생리 570번지,37.6509045,126.5766937,300,2020-06-30,닭,20181204.0,
김포시,대곶농장,육계,10040.0,,경기도 김포시 대곶면 율생리 570번지,126.5766436,37.6508217,300,2018-08-31,,,
김포시,대곶농장,육계,10040.0,,경기도 김포시 대곶면 율생리 570번지,37.6508217219,126.5766436748,300,2020-07-31,닭,20191202.0,
김포시,대명농장,육계,10040.0,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,37.6534223,126.559194,20000,2020-06-30,닭,20181204.0,
김포시,대명농장,육계,10040.0,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,126.5594263,37.6535152,20000,2018-09-30,,,
김포시,대명농장,육계,10040.0,경기도 김포시 대곶면 대곶로20번길 207,경기도 김포시 대곶면 대명리 57번지,37.6534145431,126.5591989649,20000,2020-07-31,닭,20191202.0,
김포시,대명농장,육계,12607.0,경기도 여주시 흥천면 청당길 93-26,경기도 여주시 흥천면 대당리 66번지,37.316657,127.543095,20000,2019-01-31,닭,,
김포시,대명농장Ⅱ,육계,10040.0,경기도 김포시 대곶면 학의동로34번길 42,경기도 김포시 대곶면 대명리 583번지,37.655066,126.5580403,25000,2019-05-31,닭,20181204.0,
김포시,대명농장Ⅱ,육계,10040.0,경기도 김포시 대곶면 학의동로34번길 42,경기도 김포시 대곶면 대명리 583번지,37.6550127473,126.5584305851,25000,2021-07-31,닭,20191202.0,
김포시,대명농장Ⅱ,육계,10040.0,경기도 김포시 대곶면 학의동로34번길 42,경기도 김포시 대곶면 대명리 583번지,126.5581819,37.6550691,25000,2018-08-31,,,
김포시,대박축산,산란계,10047.0,경기도 김포시 대곶면 고음달로 13-56,경기도 김포시 대곶면 대능리 886번지,37.6240306,126.5980152,420000,2019-01-31,메추리,,
김포시,대성농장,육계,10049.0,,경기도 김포시 양촌읍 학운리 1032번지,37.6090818417,126.6002798829,20000,2025-08-31,닭,20191202.0,
김포시,대성농장,육계,10049.0,,경기도 김포시 양촌읍 학운리 1032번지,126.6002798,37.6090818,20000,2018-03-14,,,
김포시,대포농장,육계,10048.0,,경기도 김포시 양촌읍 대포리 261번지 18호,,,30000,2025-07-31,닭,20191202.0,
김포시,대포농장,육계,10048.0,,경기도 김포시 양촌읍 대포리 261번지 18호,37.6130576,126.6272729,30000,2020-04-30,닭,20181204.0,
김포시,대포농장,육계,10010.0,경기도 김포시 통진읍 서암로 282-33,경기도 김포시 통진읍 동을산리 159-1번지,37.703947,126.6131144,25000,2020-04-30,닭,20181204.0,
김포시,대포농장,육계,12655.0,경기도 여주시 가남읍 신해3길 120,경기도 여주시 가남읍 신해리 78번지,37.2280056,127.5510031,30000,2019-01-31,닭,,
김포시,대포농장,육계,12667.0,경기도 여주시 점동면 장여로 718-13,경기도 여주시 점동면 덕평리 443번지,37.1685392,127.6523665,25000,2019-01-31,닭,,
김포시,대포농장,육계,10048.0,,경기도 김포시 양촌읍 대포리 261번지 18호,126.6283692,37.6130484,30000,2018-10-31,,,
김포시,도담농원,산란계,10004.0,경기도 김포시 하성면 평화공원로70번길 284-120,경기도 김포시 하성면 가금리 311번지,37.7379497,126.6069444,1400,2019-06-30,닭,20181204.0,
김포시,도담농원,산란계,12603.0,경기도 여주시 산북면 해여림로 42-6,경기도 여주시 산북면 상품리 321-1번지,37.3952318,127.4362965,1400,2019-01-31,닭,,
김포시,도수농장,산란계,10030.0,경기도 김포시 통진읍 마송2로104번길 58-25,경기도 김포시 통진읍 마송리 399번지 3호,37.684421941,126.5893489103,20000,2020-11-30,닭,20191202.0,
김포시,도수농장,산란계,10030.0,경기도 김포시 통진읍 마송2로104번길 58-25,경기도 김포시 통진읍 마송리 399-1번지,37.6844202,126.5893525,20000,2019-05-31,닭,20181204.0,
김포시,도수농장,산란계,12634.0,경기도 여주시 강변유원지길 22-38,경기도 여주시 매룡동 91-1번지,37.2887195,127.6584726,20000,2019-01-31,닭,,
김포시,도수농장,산란계,10030.0,경기도 김포시 통진읍 마송2로104번길 58-25,경기도 김포시 통진읍 마송리 399번지 3호,126.589334,37.6836799,20000,2018-03-14,,,
김포시,도현 농장,산란계,10033.0,경기도 김포시 통진읍 율마로276번길 45-2,경기도 김포시 통진읍 가현리 798번지,37.6758593416,126.6010768499,0,2025-08-31,닭,20191202.0,
김포시,도현 농장,산란계,10033.0,경기도 김포시 통진읍 율마로276번길 45-2,경기도 김포시 통진읍 가현리 798번지,126.6010641,37.675873,0,2018-10-31,,,
김포시,동해농장,산란계,10069.0,,경기도 김포시 양촌읍 구래리 742번지,126.6308684,37.6319947,12000,2018-10-31,,,
김포시,동해농장,산란계,10069.0,,경기도 김포시 양촌읍 구래리 742번지,37.6333211,126.6303673,12000,2020-05-31,닭,20181204.0,
김포시,동해농장,산란계,10069.0,,경기도 김포시 양촌읍 구래리 742번지,,,12000,2021-09-30,닭,20191202.0,
김포시,동해농장,산란계,12607.0,경기도 여주시 율극1리 219-1,경기도 여주시 흥천면 율극1리 219-1,37.3350994,127.5646439,12000,2019-01-31,닭,,
김포시,두레농장,육계,10046.0,경기도 김포시 대곶면 삭시갈마로 73,경기도 김포시 대곶면 대능리 700번지,37.6259636,126.600709,1300,2019-05-31,닭,20181204.0,
김포시,두레농장,육계,10046.0,경기도 김포시 대곶면 삭시갈마로 73,경기도 김포시 대곶면 대능리 700번지,126.6008683,37.625995,1300,2018-03-14,,,
김포시,두레농장,육계,10046.0,경기도 김포시 대곶면 삭시갈마로 73,경기도 김포시 대곶면 대능리 700번지,37.6259596913,126.6007035995,1300,2025-08-31,닭,20191202.0,
김포시,두우농장,육계,,,경기도 김포시 양촌읍 구래리 산 198번지,126.6194132,37.6499864,23000,2018-08-31,,,
김포시,두우농장,육계,,,경기도 김포시 양촌읍 구래리 산 198번지,,,23000,2021-07-31,닭,20191202.0,
김포시,드림농장,산란계,10023.0,경기도 김포시 월곶면 월하로 87,경기도 김포시 월곶면 갈산리 200번지,37.7133934557,126.566745942,1000,2021-06-30,닭,20191202.0,
김포시,드림농장,산란계,10023.0,경기도 김포시 월곶면 월하로 87,경기도 김포시 월곶면 갈산리 200번지,126.5662604,37.7133102,1000,2018-10-31,,,
김포시,루디요안 농장,산란계,10001.0,경기도 김포시 월곶면 용강로437번길 45-26,경기도 김포시 월곶면 용강리 335번지 7호,37.7561449727,126.5535402997,120,2021-09-30,닭,20191202.0,
김포시,루디요안 농장,산란계,10001.0,경기도 김포시 월곶면 용강로437번길 45-26,경기도 김포시 월곶면 용강리 335-7번지,37.7561537,126.5533926,120,2020-01-31,닭,20181204.0,
김포시,루디요안 농장,산란계,10001.0,경기도 김포시 월곶면 용강로437번길 45-26,경기도 김포시 월곶면 용강리 335번지 7호,126.5534813,37.7561114,120,2018-10-31,,,
김포시,말무리농장,산란계,10010.0,경기도 김포시 통진읍 애기봉로571번길 128-70,경기도 김포시 통진읍 귀전리 84번지,37.7326325,126.6068284,5000,2020-04-30,닭,20181204.0,
김포시,말무리농장,산란계,10010.0,경기도 김포시 통진읍 애기봉로571번길 128-70,경기도 김포시 통진읍 귀전리 84번지,37.7326313145,126.6068254671,5000,2021-04-30,닭,20191202.0,
김포시,말무리농장,산란계,10010.0,경기도 김포시 통진읍 애기봉로571번길 128-70,경기도 김포시 통진읍 귀전리 84번지,126.6064434,37.732174,5000,2018-04-30,,,
김포시,명석농장,육계,10022.0,경기도 김포시 월곶면 고척로 7,경기도 김포시 월곶면 갈산리 19번지,37.7147908,126.5786946,20000,2020-05-31,닭,20181204.0,
김포시,명석농장,육계,10022.0,경기도 김포시 월곶면 고척로 7,경기도 김포시 월곶면 갈산리 19번지,37.7147942666,126.5786867279,20000,2026-01-31,닭,20191202.0,
김포시,명석농장,육계,10022.0,경기도 김포시 월곶면 고척로 7,경기도 김포시 월곶면 갈산리 19번지,126.5785348,37.7147065,20000,2018-04-30,,,
김포시,명석농장,육계,12654.0,경기도 여주시 우만2길 14-4,경기도 여주시 우만동 153번지,37.2566978,127.6744945,20000,2019-01-31,닭,,
김포시,무량농장,육계,10045.0,,경기도 김포시 양촌읍 구래리 295번지 23호,,,20000,2021-06-30,닭,20191202.0,
