시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
남양주시,가족농장,육계,12201.0,,경기도 남양주시 와부읍 율석리 832번지 4호,127.2095866,37.6033708,,2018-03-14,,,
남양주시,가족농장,육계,12201.0,,경기도 남양주시 와부읍 율석리 832번지 4호,37.6033708373,127.2095866254,200.0,2020-05-31,닭,20200123.0,
남양주시,강씨네한방백봉오골계,토종닭,12076.0,경기도 남양주시 별내면 용암도감말길 33,경기도 남양주시 별내면 용암리 28,37.7168240119,127.1306080221,100.0,2026-01-31,닭,20250522.0,
남양주시,거북농장,육계,,,경기도 남양주시 삼패동 산 12번지,127.1915412,37.6146091,,2018-10-31,,,
남양주시,거북농장,육계,12246.0,경기도 남양주시 양정로 410-2,경기도 남양주시 삼패동 산 12번지,37.5983934455,127.2118602348,2200.0,2020-01-31,닭,20200123.0,
남양주시,경인농장,산란계,12217.0,,경기도 남양주시 평내동 산 2번지 19호,37.6503874934,127.2174789638,150.0,2020-04-30,닭,20200123.0,
남양주시,경인농장,산란계,,,경기도 남양주시 평내동 산 2번지 19호,127.2359001,37.6491272,,2018-08-31,,,
남양주시,경인농장,산란계,12217.0,,경기도 남양주시 평내동 산 2번지 19호,37.6503874,127.2174789,230.0,2019-02-28,닭,20181207.0,
남양주시,경춘목장,산란계,12278.0,"경기도 남양주시 조안면 재재기로 583 (,690)","경기도 남양주시 조안면 삼봉리 680번지 ,690",37.590760187,127.32490524,500.0,2020-05-31,닭,20200123.0,
남양주시,경춘목장,산란계,12278.0,경기도 남양주시 조안면 재재기로 583,"경기도 남양주시 조안면 삼봉리 680번지 ,690",127.3249052,37.5907601,,2018-10-31,,,
남양주시,경춘목장,산란계,12278.0,"경기도 남양주시 조안면 재재기로 583 (,690)","경기도 남양주시 조안면 삼봉리 680번지 ,690",37.5909584981,127.3248356332,500.0,2021-11-30,닭,20210624.0,
남양주시,계림농장,산란계,,,경기도 남양주시 오남읍 오남리 765번지 4호,127.2022457,37.6956336,,2018-03-14,,,
남양주시,고센씨암탉,토종닭,12202.0,경기도 남양주시 와부읍 수레로640번길 96,경기도 남양주시 와부읍 월문리 83-29,37.6152743957,127.2802367955,1900.0,2025-07-31,닭,20250522.0,
남양주시,고센영농조합법인,육계,12202.0,경기도 남양주시 와부읍 수레로640번길 85,"경기도 남양주시 와부읍 월문리 83번지 3호 ,83-13",127.2792212,37.6158419,,2018-04-30,,,
남양주시,고센영농조합법인,육계,12202.0,"경기도 남양주시 와부읍 수레로640번길 85 (,83-13)","경기도 남양주시 와부읍 월문리 83번지 3호 ,83-13",37.6159492826,127.2796342657,20000.0,2021-11-30,닭,20210624.0,
