시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
양평군,가나안농장,육계,12543.0,,경기도 양평군 지평면 대평리 5번지 2호,127.6467988,37.4377547,42000.0,2018-03-14,,,
양평군,가나안농장,육계,12543.0,경기도 양평군 지평면 대평로 364,경기도 양평군 지평면 대평리 5번지,37.4379241,127.647128,42000.0,2020-05-31,육계,20190530.0,
양평군,가나안농장,육계,12543.0,경기도 양평군 지평면 대평로,경기도 양평군 지평면 대평리 5번지 2호,37.4379241,127.647128,42000.0,2019-02-28,육계,20181203.0,
양평군,가나안농장,육계,12543.0,경기도 양평군 지평면 대평로 364,경기도 양평군 지평면 대평리 5번지,37.4377835848,127.64663697,38000.0,2025-08-31,육계,20230523.0,
양평군,가나안농장,육계,10256.0,경기도 고양시 일산동구 지영로148번길 39,경기도 고양시 일산동구 지영동 736번지,126.8250892675,37.7123449101,42000.0,2018-09-30,,,
양평군,가을농장,육계,12543.0,경기도 양평군 지평면 대평로 364,경기도 양평군 지평면 대평리 5번지,37.439336,127.6492757,50000.0,2020-04-30,육계,20190530.0,
양평군,가을농장,육계,12543.0,경기도 양평군 지평면 대평로 364,경기도 양평군 지평면 대평리 5번지,37.4377835848,127.64663697,40000.0,2025-07-31,육계,20230523.0,
양평군,가을농장,육계,12543.0,경기도 양평군 지평면 대평로 400,경기도 양평군 지평면 망미리 1153-1번지,37.439336,127.6492757,50000.0,2019-01-31,육계,,
양평군,강**,육계,12530.0,경기도 양평군 청운면 여물길 153-5,경기도 양평군 청운면 여물리 216번지,37.5678266,127.7026208,30000.0,2019-01-31,육계,,
양평군,강**,육계,12530.0,경기도 양평군 청운면 여물길 153-5,경기도 양평군 청운면 여물리 216,37.5678266,127.7026209,30000.0,2019-07-31,육계,20190530.0,
양평군,강O석,육계,12530.0,경기도 양평군 청운면 여물길 153-5,경기도 양평군 청운면 여물리 216,127.7026208,37.5678266,30000.0,2018-08-31,,,
양평군,강O석,육계,10208.0,경기도 고양시 일산서구 가좌로140번길 29,경기도 고양시 일산서구 가좌동 951번지,126.7141660096,37.6853219204,30000.0,2018-10-31,,,
양평군,개군농장,육계,12569.0,경기도 양평군 개군면 내리길 140,경기도 양평군 개군면 내리 40-1번지,37.4389213,127.5703569,60000.0,2019-01-31,육계,,
양평군,개군농장,육계,12569.0,경기도 양평군 개군면 내리길 140,경기도 양평군 개군면 내리 40-1번지,37.438980315,127.5703692632,80000.0,2021-04-30,육계,20200610.0,
양평군,고센농장,육계,12543.0,경기도 양평군 지평면 대평로 415-17,경기도 양평군 지평면 망미리 1127번지,37.4420351,127.6483272,45000.0,2020-05-31,육계,20190530.0,
양평군,고센농장,육계,12543.0,경기도 양평군 지평면 대평로 415-17,경기도 양평군 지평면 망미리 1127번지,37.4417831811,127.6486457076,45000.0,2020-06-30,육계,20200610.0,
양평군,고센농장,육계,17166.0,,경기도 용인시 처인구 원삼면 미평리 279번지,37.1846447,127.3199748,45000.0,2019-01-31,육계,,
양평군,고센농장,육계,12543.0,경기도 양평군 지평면 대평로 415-20,경기도 양평군 지평면 망미리 1127-5번지,37.4420351,127.6483271,45000.0,2019-05-31,육계,20181203.0,
양평군,고송농장,육계,12533.0,,경기도 양평군 양동면 고송리 946-5,127.6969888,37.4779788,30000.0,2018-04-30,,,
양평군,고송농장,육계,12533.0,경기도 양평군 양동면 윗고슬길 54,경기도 양평군 양동면 고송리 889번지,37.47885844,127.6967312787,35000.0,2025-05-31,육계,20230523.0,
양평군,고송농장,육계,12533.0,경기도 양평군 양동면 윗고슬길 54,경기도 양평군 양동면 고송리 889번지,37.4785325,127.696293,30000.0,2019-07-31,육계,20190530.0,
양평군,고송농장,육계,12533.0,경기도 양평군 양동면 윗고슬길 50-8,경기도 양평군 양동면 고송리 946-3번지,37.4785325,127.696293,30000.0,2018-12-31,육계,,
양평군,고송농장,육계,10437.0,경기도 고양시 덕양구 양곡1길 121-43,경기도 고양시 덕양구 행주외동 292번지,126.8112407967,37.6113878803,30000.0,2018-09-30,,,
양평군,구구농장,육계,12512.0,경기도 양평군 용문면 망능길266번길 13,경기도 양평군 용문면 망능리 160-1번지,37.5480726,127.6381281,25000.0,2019-06-30,육계,20190530.0,
양평군,구구농장,육계,10389.0,,경기도 고양시 일산서구 법곳동 192번지 3호,126.7290487847,37.6644100102,25000.0,2018-10-31,,,
양평군,구구농장,육계,12512.0,경기도 양평군 용문면 망능길 272,경기도 양평군 용문면 망능리 165-5,127.6381281,37.5480726,25000.0,2018-03-14,,,
양평군,구구농장,육계,12512.0,경기도 양평군 용문면 망능길 272,경기도 양평군 용문면 망능리 165-5번지,37.5480726,127.6381281,25000.0,2019-02-28,육계,20181203.0,
양평군,국수농장,육계,10265.0,,경기도 고양시 덕양구 관산동 605번지 13호,126.8675380965,37.7125994897,50000.0,2018-10-31,,,
양평군,국수농장,육계,12580.0,경기도 양평군 양서면 왯재길10번길 6,경기도 양평군 양서면 국수리 52-2,127.4037115,37.5214048,50000.0,2018-03-14,,,
양평군,국수농장,육계,12580.0,경기도 양평군 양서면 왯재길10번길 6,경기도 양평군 양서면 국수리 52-2번지,37.5214048,127.4037116,50000.0,2020-05-31,육계,20190530.0,
양평군,국수농장,육계,17170.0,경기도 용인시 처인구 원삼면 어현로 84-22,경기도 용인시 처인구 원삼면 죽능리 749-1번지,37.1415653,127.2993104,50000.0,2018-12-31,육계,,
양평군,국수농장,육계,12580.0,경기도 양평군 양서면 왯재길10번길 6,경기도 양평군 양서면 국수리 52-2번지,37.5214048,127.4037115,50000.0,2019-05-31,육계,20181203.0,
양평군,굿모닝메추팜,,12544.0,경기도 양평군 지평면 밤벌길 56,경기도 양평군 지평면 수곡리 464번지 외 3필지,37.4323658,127.5952996,200000.0,2020-01-31,메추리,20190530.0,
양평군,굿모닝메추팜,,12544.0,경기도 양평군 지평면 밤벌길 56,경기도 양평군 지평면 수곡리 464,37.4322475743,127.595320601,200000.0,2025-04-30,메추리,20230523.0,
양평군,굿모닝메추팜,,12544.0,경기도 양평군 지평면 밤벌길 56,경기도 양평군 지평면 수곡리 464번지,37.4323658,127.5952996,200000.0,2019-05-31,메추리,20181203.0,
양평군,금산농장,육계,12541.0,경기도 양평군 지평면 금의길 159-1,경기도 양평군 지평면 월산리 473번지,37.4764571543,127.6570158429,30000.0,2026-02-26,육계,20230523.0,
양평군,금산농장,육계,12541.0,경기도 양평군 지평면 금의길 159-1,경기도 양평군 지평면 월산리 473번지,37.4738591,127.6579384,25040.0,2019-06-30,육계,20190530.0,
양평군,금산농장,육계,12541.0,,경기도 양평군 지평면 월산리 376번지 1호 외1필지,127.6579383,37.473859,25040.0,2018-04-30,,,
양평군,금산농장,육계,10259.0,경기도 고양시 일산동구 사리현로 129,경기도 고양시 일산동구 사리현동 611,126.8332350186,37.6911572959,25040.0,2018-09-30,,,
양평군,금산농장,육계,12541.0,경기도 양평군 지평면 모라치들길,경기도 양평군 지평면 월산리 376번지 1호 외1필지,37.473859,127.6579383,25040.0,2019-02-28,육계,20181203.0,
양평군,길조,,12570.0,경기도 양평군 개군면 소감터길 47-39,경기도 양평군 개군면 계전리 739-46,37.4131138894,127.5649208642,110000.0,2020-06-30,메추리,20200610.0,
양평군,김**,산란계,12538.0,,경기도 양평군 양동면 단석리 104,37.4011510169,127.7431823357,2000.0,2021-07-31,산란계,20200610.0,
양평군,김**,육계,12533.0,경기도 양평군 양동면 무넘이길 52,경기도 양평군 양동면 고송리 844-1번지,37.4818052,127.702044,60000.0,2019-02-28,육계,20181203.0,
양평군,김**,육계,12507.0,경기도 양평군 옥천면 백현길2번길,경기도 양평군 옥천면 옥천리 142,37.528018,127.473745,35000.0,2019-02-28,육계,20181203.0,
양평군,김**,육계,12507.0,,경기도 양평군 옥천면 옥천리 219-4,37.5252116851,127.4755324903,38000.0,2021-07-31,육계,20200610.0,
양평군,김**,육계,12534.0,경기도 양평군 양동면 양동로 1031,경기도 양평군 양동면 금왕리 464-1번지,37.4783951,127.7296537,40000.0,2019-02-28,육계,20181203.0,
양평군,김**,육계,12538.0,경기도 양평군 양동면 배나무쟁이길,경기도 양평군 양동면 단석리 104번지,37.401151,127.7431823,120.0,2019-02-28,육계,20181203.0,
양평군,김**,육계,12534.0,경기도 양평군 양동면 양동로 1031,경기도 양평군 양동면 금왕리 464-1,37.4783751953,127.7297558136,49000.0,2020-11-30,육계,20200610.0,
양평군,김**,육계,12544.0,경기도 양평군 지평면 고재길 60,경기도 양평군 지평면 곡수리 517번지,37.4246191,127.6091681,40000.0,2019-02-28,육계,20181203.0,
양평군,김**,육계,12537.0,경기도 양평군 양동면 오리벌길71번길 1,경기도 양평군 양동면 매월리 574번지,37.4315363,127.7206025,22000.0,2019-01-31,육계,,
양평군,김**,육계,12536.0,경기도 양평군 양동면 윗목골길 58,경기도 양평군 양동면 석곡리 83번지,37.4234313,127.7646174,22000.0,2020-05-31,육계,20190530.0,
양평군,김**,육계,12538.0,경기도 양평군 양동면 여양3로 636-10,경기도 양평군 양동면 단석리 105-1번지,37.401151,127.7431823,120.0,2020-05-31,육계,20190530.0,
