시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
여주시,(주)부영,,12607.0,경기도 여주시 흥천면 종다람길 78,경기도 여주시 흥천면 신근리 248-30번지,37.3182979,127.556509,300000.0,2019-06-30,메추리,20181231.0,
여주시,**,토종닭,12617.0,경기도 여주시 강천면 부평로 111,경기도 여주시 강천면 부평리 501-2번지,37.2660311,127.7484638,1.0,2020-05-31,닭,20181231.0,
여주시,**,토종닭,12604.0,경기도 여주시 금사면 뒷머리길 4,경기도 여주시 금사면 이포리 206-2번지,37.393707,127.5320047,38.0,2020-05-31,닭,20181231.0,
여주시,***,토종닭,12602.0,경기도 여주시 금사면 금품1로 472-49,경기도 여주시 금사면 상호리 78번지,37.4031492,127.4790904,25.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12604.0,경기도 여주시 금사면 노루목길 62-1,경기도 여주시 금사면 주록리 85-3번지,37.3830688,127.4647027,12.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12617.0,경기도 여주시 강천면 황골길 28-4,경기도 여주시 강천면 도전리 109-1번지,37.3622116,127.729875,16.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12616.0,경기도 여주시 강천면 곱새기로 90,경기도 여주시 강천면 걸은리 788-1번지,37.2875012,127.7104364,11.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12601.0,경기도 여주시 금사면 전북2길 2-25,경기도 여주시 금사면 전북리 394번지,37.4348366,127.5053689,20.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12615.0,경기도 여주시 강천면 가정긴골길 317,경기도 여주시 강천면 걸은리 68-2번지,37.3105792,127.7114083,8.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12615.0,경기도 여주시 강천면 가정긴골길 319-8,경기도 여주시 강천면 걸은리 220-1번지,37.3079364,127.7103796,30.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12647.0,경기도 여주시 능서면 매류1길 45,경기도 여주시 능서면 매류리 352-1번지,37.2780556,127.5590894,10.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12604.0,경기도 여주시 금사면 안산길 185,경기도 여주시 금사면 주록리 179번지,37.3637027,127.4609831,12.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12641.0,경기도 여주시 능서면 구양2길 15,경기도 여주시 능서면 구양리 300-1번지,37.3170508,127.5836086,10.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12617.0,경기도 여주시 강천면 능이마을길 26-4,경기도 여주시 강천면 도전리 1264-1번지,37.3031948,127.7658731,10.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12611.0,경기도 여주시 대신면 상구1길 8-18,경기도 여주시 대신면 상구리 29-2번지,37.3739032,127.6398063,10.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12604.0,경기도 여주시 금사면 노루목길 84,경기도 여주시 금사면 주록리 86-2번지,37.384985,127.4631562,40.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12611.0,경기도 여주시 대신면 상구2길 25,경기도 여주시 대신면 상구리 354-1번지,37.3730428,127.6439648,10.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12601.0,경기도 여주시 금사면 금사로 597-10,경기도 여주시 금사면 전북리 363번지,37.4352806,127.5090101,550.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12602.0,경기도 여주시 금사면 소유실길 142,경기도 여주시 금사면 소유리 110-1번지,37.4174475,127.4967918,10.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12604.0,경기도 여주시 금사면 노루목길 79,경기도 여주시 금사면 주록리 89번지,37.3843667,127.4622943,3.0,2020-04-30,닭,20181231.0,
여주시,***,,12647.0,경기도 여주시 능서면 매류1길 45,경기도 여주시 능서면 매류리 352-1번지,37.2780556,127.5590894,1.0,2020-05-31,타조,20181231.0,
여주시,***,토종닭,12616.0,경기도 여주시 강천면 마감로 274-17,경기도 여주시 강천면 걸은리 508-2번지,37.2963044,127.7148834,5.0,2020-04-30,닭,20181231.0,
여주시,***,육계,12612.0,경기도 여주시 북내면 여강로 471-33,경기도 여주시 북내면 장암리 268-37번지,37.3397116,127.6863821,72440.0,2020-04-30,닭,20181231.0,
여주시,***,산란계,12666.0,경기도 여주시 점동면 처리1길 54-44,경기도 여주시 점동면 처리 289-1번지,37.2298693,127.6754171,800.0,2020-04-30,닭,20181231.0,
여주시,***,산란계,12642.0,,경기도 여주시 능서면 내양리 291-200,37.3401036,127.5807279,500.0,2020-04-30,닭,20181231.0,
여주시,***,토종닭,12615.0,경기도 여주시 강천면 가정긴골길 476-16,경기도 여주시 강천면 걸은리 산144번지,37.2985535,127.7018556,,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12649.0,경기도 여주시 가남읍 화평길 53,경기도 여주시 가남읍 화평리 113-1번지,37.2430589,127.5650645,7.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12663.0,경기도 여주시 가남읍 댓절길 43,경기도 여주시 가남읍 대신리 447-1번지,37.190094,127.5262898,7.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12657.0,경기도 여주시 가남읍 안금3길 67,경기도 여주시 가남읍 안금리 58-2번지,37.2279496,127.6105084,3.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12663.0,경기도 여주시 가남읍 건은로 180-82,경기도 여주시 가남읍 은봉리 595-2번지,37.1834231,127.5410974,25.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12663.0,경기도 여주시 가남읍 댓절길 63-39,경기도 여주시 가남읍 대신리 342-1번지,37.1885594,127.5310093,10.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12648.0,경기도 여주시 가남읍 정단길 74-9,경기도 여주시 가남읍 정단리 277-5번지,37.2478921,127.5546749,20.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12661.0,경기도 여주시 가남읍 심석1길 91-1,경기도 여주시 가남읍 심석리 209-5번지,37.2015883,127.5624027,18.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12649.0,경기도 여주시 가남읍 본두3길 67,경기도 여주시 가남읍 본두리 447번지,37.2374442,127.5840004,13.0,2021-04-30,닭,20181231.0,
여주시,***,토종닭,12660.0,경기도 여주시 가남읍 김대2길 24,경기도 여주시 가남읍 금당리 653번지,37.1979833,127.6066414,5.0,2021-04-30,닭,20181231.0,
