시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
의왕시,,육계,16109.0,경기도 의왕시 아랫새우대길 60,경기도 의왕시 초평동 519,126.9405384,37.306818,65,2018-08-31,,,
의왕시,,육계,16109.0,경기도 의왕시 중간새우대길 75-28,경기도 의왕시 초평동 457,126.9316511,37.3055606,15,2018-09-30,,,
의왕시,,육계,16075.0,,경기도 의왕시 고천동 149,126.9696706,37.3404739,15,2018-09-30,,,
의왕시,,육계,16077.0,경기도 의왕시 고고리길 49-5,경기도 의왕시 고천동 13,126.9730569,37.3384475,10,2018-09-30,,,
의왕시,,육계,16065.0,경기도 의왕시 백운로 133,경기도 의왕시 오전동 616-3,126.9911429,37.3581108,40,2018-09-30,,,
의왕시,,육계,16013.0,경기도 의왕시 벌모루앞길 63,경기도 의왕시 포일동 177-7,126.9898394,37.3898624,6,2018-09-30,,,
의왕시,,육계,16000.0,경기도 의왕시 청계로 292,경기도 의왕시 청계동 91,127.0200273,37.4063053,50,2018-09-30,,,
의왕시,,육계,16107.0,경기도 의왕시 잿말길 16,경기도 의왕시 월암동 630,126.9544813,37.3052568,5,2018-09-30,,,
의왕시,,육계,16065.0,경기도 의왕시 백운로 144-31,경기도 의왕시 오전동 689-1번지,126.9938631,37.358922,30,2018-10-31,,,
의왕시,,육계,16065.0,경기도 의왕시 오매기중간길 29-7,경기도 의왕시 오전동 562-3번지,126.987113,37.3597772,17,2018-10-31,,,
의왕시,,육계,16065.0,,경기도 의왕시 오전동 603,126.9884788,37.3595612,25,2018-08-31,,,
의왕시,,육계,16107.0,,경기도 의왕시 왕송못동로 207-3,,,18,2018-08-31,,,
의왕시,,육계,16075.0,경기도 의왕시 안골길 18,경기도 의왕시 고천동 203-1,126.9690582,37.3473124,40,2018-08-31,,,
의왕시,,육계,,,경기도 의왕시 학의동 산 82-6,127.0142867,37.3872046,10,2018-08-31,,,
의왕시,,육계,,,경기도 의왕시 오전동 산 122,126.9888848,37.3614894,35,2018-08-31,,,
의왕시,,육계,16000.0,,경기도 의왕시 청계동 554-6,127.0043613,37.3945303,50,2018-10-31,,,
의왕시,,육계,,,경기도 의왕시 오전동 산 157-3,126.9888848,37.3614894,13,2018-10-31,,,
의왕시,,육계,16065.0,,경기도 의왕시 오전동 486-1,126.9852514,37.3560558,20,2018-10-31,,,
의왕시,,육계,,,경기도 의왕시 학의동 19,127.0192548,37.3860597,10,2018-10-31,,,
의왕시,,육계,,,경기도 의왕시 내손동 산 121-6,126.9807387,37.3867616,20,2018-09-30,,,
의왕시,,육계,16065.0,경기도 의왕시 오매기백운산길 54-13,경기도 의왕시 오전동 745,126.9980284,37.35603,5,2018-09-30,,,
의왕시,왕곡농장,산란계,16070.0,,경기도 의왕시 왕곡동 453,37.3395303571,126.9803125718,1000,2020-11-30,닭,20200311.0,
의왕시,왕곡농장,산란계,16070.0,경기도 의왕시 통미마을길 31,경기도 의왕시 왕곡동 384,126.9804478,37.340089,2800,2018-03-14,,,
의왕시,왕곡농장,산란계,16070.0,,경기도 의왕시 왕곡동 453,37.3395303571,126.9803125718,300,2021-06-30,닭,20210618.0,
의왕시,왕곡농장,산란계,16070.0,,경기도 의왕시 왕곡동 453,37.3395573811,126.9802787096,500,2025-04-30,닭,20240306.0,
의왕시,왕곡농장,산란계,16070.0,경기도 의왕시 통미마을길 38-2,경기도 의왕시 왕곡동 453,37.339608973,126.9802951133,250,2025-07-31,닭,20250714.0,
의왕시,왕곡농장,산란계,16070.0,,경기도 의왕시 왕곡동 453,37.339623,126.980294,1000,2020-01-31,닭,20181203.0,
의왕시,풀섬농장,산란계,16016.0,,경기도 의왕시 학의동 910,127.0013918,37.3666981,650,2018-08-31,,,
