시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
이천시,(주)이레농산,오리,17402.0,경기도 이천시 대월면 대월로557번길 39,경기도 이천시 대월면 구시리 457번지,37.2055289908,127.4968493819,6000.0,2020-04-30,오리,20191203.0,
이천시,(주)이레농산,오리,17402.0,경기도 이천시 대월면 대월로557번길 39,경기도 이천시 대월면 구시리 457번지,37.2055289,127.4968493,6000.0,2019-02-28,오리,20181201.0,
이천시,(주)이레농산,오리,12657.0,경기도 여주시 가남읍 안금2길 30-5,경기도 여주시 가남읍 안금리 456-6번지,37.2261667,127.5978631,6000.0,2019-01-31,오리,,
이천시,(주)이레농산,오리,17402.0,경기도 이천시 대월면 대월로557번길 39,경기도 이천시 대월면 구시리 457번지,127.4968493819,37.2055289908,,2018-10-31,,,
이천시,가산농장,산란계,,,경기도 이천시 부발읍 가산리 산 103-1,37.251891596,127.5085135471,7000.0,2019-12-31,닭,20191203.0,
이천시,가산농장,산란계,,,경기도 이천시 부발읍 가산리 산 103-1,37.2518915,127.5085135,7000.0,2019-02-28,닭,20181201.0,
이천시,가산농장,산란계,12655.0,경기도 여주시 가남읍 상활2길 83-103,경기도 여주시 가남읍 신해리 498-5,37.232695,127.5342919,7000.0,2019-01-31,닭,,
이천시,갈매기농장,육계,17408.0,,경기도 이천시 모가면 서경리 120번지 3호,37.1546532,127.4911598,25000.0,2019-06-30,닭,20181201.0,
이천시,갈매기농장,육계,12607.0,경기도 여주시 흥천면 신근안터길 48,경기도 여주시 흥천면 신근리 996번지,37.301301,127.5515345,25000.0,2019-01-31,닭,,
이천시,갈매기농장,육계,17408.0,,경기도 이천시 모가면 서경리 120번지 3호,127.4911598828,37.1546532029,,2018-09-30,,,
이천시,강화농장,종계,17414.0,경기도 이천시 장호원읍 이풍로476번길 166,경기도 이천시 장호원읍 풍계리 862- 15,37.1455536618,127.6104202553,21200.0,2026-02-26,산란육성계,20250421.0,
이천시,강화농장,종계,17414.0,경기도 이천시 장호원읍 이풍로476번길 166,경기도 이천시 장호원읍 풍계리 862-15,37.1455536618,127.6104202553,24154.0,2025-05-31,종계업,20230603.0,
이천시,경기,종계,17334.0,경기도 이천시 부발읍 아미리 6,경기도 이천시 부발읍 아미리 6,37.2603990127,127.5146382923,7500.0,2025-07-31,종계/산란계,20250421.0,
이천시,경기농장,육계,12645.0,경기도 여주시 가업길 21-12,경기도 여주시 가업동 49-1번지,37.2777777,127.615385,36000.0,2019-01-31,닭,,
이천시,경기농장,육계,,,경기도 이천시 부발읍 아미리 산 6-2,37.264496818,127.4935365716,17600.0,2020-04-30,닭,20191203.0,
이천시,경기농장,육계,17398.0,,경기도 이천시 호법면 주미리 446번지,127.4303796089,37.212004611,,2018-09-30,,,
이천시,경기농장,육계,,,경기도 이천시 부발읍 아미리 산 6번지 4호,127.4935365716,37.264496818,,2018-09-30,,,
이천시,경기농장,종계,17334.0,경기도 이천시 부발읍 황무로1852번길 82,경기도 이천시 부발읍 아미리 6-4,37.2607776488,127.5142549269,20000.0,2025-05-31,종계업,20230603.0,
이천시,경기농장,육계,17334.0,경기도 이천시 부발읍 황무로1852번길 79,경기도 이천시 부발읍 아미리 6-13,37.2603990127,127.5146382923,25000.0,2025-05-31,육계,20230603.0,
이천시,경기농장,육계,,,경기도 이천시 부발읍 아미리 산 6-2,37.2644968,127.4935365,17600.0,2019-07-31,닭,20181201.0,
이천시,경기농장,육계,17398.0,,경기도 이천시 호법면 주미리 446번지,37.2120046,127.4303796,36000.0,2019-07-31,닭,20181201.0,
이천시,경기농장,육계,17123.0,경기도 용인시 처인구 남사면 원암로 468,경기도 용인시 처인구 남사면 방아리 969-10번지,37.1013976,127.1758845,17600.0,2019-01-31,닭,,
이천시,계O농장,산란계,17309.0,경기도 이천시 백사면 원적로868번길 11,경기도 이천시 백사면 도립리 261번지,127.4736281,37.3405692,,2018-08-31,,,
이천시,계림,산란계,17309.0,경기도 이천시 백사면 원적로868번길 11,경기도 이천시 백사면 도립리 261번지,37.340612344,127.4737744414,50000.0,2026-01-31,오리,20250421.0,
