시군명,농장명,상세구분,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,사육두수(마리),조사날짜,축종명,데이터기준일자,비고
포천시,-,산란계,11127.0,경기도 포천시 영중면 호국로 3369,경기도 포천시 영중면 성동리 372번지 13호,127.262427,38.038259,,2018-03-14,,,
포천시,-,육계,11190.0,경기도 포천시 내촌면 작은넙고개길 77,경기도 포천시 내촌면 진목리 324-1번지,37.8091169,127.2079443,30.0,2020-04-30,닭,20181129.0,
포천시,-,산란계,11102.0,경기도 포천시 영북면 호국로4350번길 21-26,경기도 포천시 영북면 자일리 334번지,38.1144702,127.2952859,25000.0,2020-04-30,닭,20181129.0,
포천시,-,산란계,11127.0,경기도 포천시 영중면 호국로 3369,경기도 포천시 영중면 성동리 359번지,38.0384826,127.2631796,17500.0,2020-04-30,닭,20181129.0,
포천시,-,,11127.0,경기도 포천시 영중면 호국로 3369,경기도 포천시 영중면 성동리 372번지 13호,38.0386160954,127.2632628793,17500.0,2025-04-30,종계/산란계,20240306.0,
포천시,-,육계,11131.0,경기도 포천시 영중면 물안길 53 ((508)),경기도 포천시 영중면 금주리 506번지 (508),37.9707448067,127.2611128552,35000.0,2025-04-30,육계,20240306.0,
포천시,-,육계,11188.0,경기도 포천시 내촌면 금강로2753번길 22-8,경기도 포천시 내촌면 소학리 172번지,37.8134188878,127.2551675659,80.0,2025-04-30,육계,20240306.0,
포천시,-,육계,11190.0,경기도 포천시 내촌면 작은넙고개길 77,경기도 포천시 내촌면 진목리 324번지 1호,37.8091021851,127.2079677844,30.0,2025-04-30,육계,20240306.0,
포천시,-,육계,11121.0,경기도 포천시 일동면 정자골1길 86-93,경기도 포천시 일동면 길명리 107번지 5호,37.9270249649,127.2905655983,40.0,2025-04-30,육계,20240306.0,
포천시,-,육계,11113.0,경기도 포천시 이동면 화동로 1824-22,경기도 포천시 이동면 연곡리 798번지 2호,38.0104630257,127.3689637853,20000.0,2025-04-30,육계,20240306.0,
포천시,-,육계,11102.0,경기도 포천시 영북면 호국로4350번길 154-151,경기도 포천시 영북면 자일리 5번지,38.1076736915,127.3087690345,20.0,2025-04-30,육계,20240306.0,
포천시,-,육계,11134.0,경기도 포천시 창수면 포천로2811번길 66,경기도 포천시 창수면 추동리 564번지,37.9982212777,127.1668662801,10000.0,2025-04-30,육계,20240306.0,
포천시,-,육계,,,경기도 포천시 영중면 영송리 165번지 1호,,,5000.0,2025-04-30,육계,20240306.0,
포천시,-,산란계,11109.0,경기도 포천시 영북면 호국로3421번길 56,경기도 포천시 영북면 야미리 459번지,38.0444004,127.2637018,50000.0,2019-01-31,닭,,
포천시,-,육계,11131.0,경기도 포천시 영중면 물안길 53,경기도 포천시 영중면 금주리 508번지 ((508)),37.9707381,127.2612901,35000.0,2019-01-31,닭,,
포천시,-,육계,11121.0,경기도 포천시 일동면 영일로534번길 75,경기도 포천시 일동면 길명리 668-1번지,37.9252712,127.2721519,20000.0,2019-01-31,닭,,
포천시,-,육계,11134.0,경기도 포천시 창수면 포천로2811번길 66,경기도 포천시 창수면 추동리 564번지,37.9981519,127.1664367,10000.0,2019-01-31,닭,,
포천시,-,육계,11164.0,경기도 포천시 가산면 마정로 57,경기도 포천시 가산면 마산리 308번지,37.8381693,127.1821121,25000.0,2019-01-31,닭,,
포천시,-,육계,11113.0,경기도 포천시 이동면 화동로 1824-22,경기도 포천시 이동면 연곡리 798-2번지,38.0103724,127.3687489,20000.0,2019-01-31,닭,,
포천시,-,육계,11121.0,경기도 포천시 일동면 정자골1길 86-93,경기도 포천시 일동면 길명리 107-5번지,37.9269127,127.2904356,40.0,2019-01-31,닭,,
포천시,-,육계,11183.0,경기도 포천시 소흘읍 소흘로 73,경기도 포천시 소흘읍 무봉리 235-13번지,37.8098656,127.1388118,60.0,2019-01-31,닭,,
포천시,-,육계,11102.0,경기도 포천시 영북면 호국로4350번길 154-151,경기도 포천시 영북면 자일리 5번지,38.1075255,127.3089745,20.0,2019-01-31,닭,,
