FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
부성축산영농조합법인,전라남도 강진군 성전면 송계로 593-48,20140507,416230
이윤행,전라남도 강진군 칠량면 삼흥리,20150918,416230
문성례,전라남도 강진군 강진읍 덕남리,20150928,415099
부성축산영농조합법인,전라남도 강진군 성전면 송계로 593-48,20150513,416210
부성축산영농조합법인,전라남도 강진군 성전면 송계로 593-48,20170313,416210
이진희,전라남도 강진군 신전면 송천리,20170228,416230
이봉순,전라남도 강진군 도암면 석문리,20170307,416230
송춘봉,전라남도 강진군 도암면 석문리,20170309,416230
부성축산영농조합법인,전라남도 강진군 성전면 송계로 593-48,20180111,416210
다솔,전라남도 강진군 도암면 석문리,20170309,416210
김건우(리산영농조합법인),전라남도 강진군 작천면 갈동리,20180105,416210
탐진농장,전라남도 강진군 군동면 군장로 488-26,20241203,416230
양명자연농장,전라남도 강진군 신전면 영관리 183-12,20211120,416298
