FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
김산옥,전라남도 무안군 일로읍 감돈리,20150116,416230
죽산농장,전라남도 무안군 일로읍 죽산리,20150121,416230
장터닭집,전라남도 무안군 일로읍 월암리,20141007,416230
이금남,전라남도 무안군 현경면 현화리,20140619,416230
김경범,전라남도 무안군 일로읍 지장리,20150114,416210
외갓집청정농장,전라남도 무안군 일로읍 지장리,20150114,415001
고향닭집,전라남도 무안군 일로읍 월암리,20141001,415002
1농장,전라남도 무안군 현경면 해운리,20141101,416230
부부오리농장,전라남도 무안군 일로읍 의산리,20161122,416230
2농장,전라남도 무안군 몽탄면 학산리,20170313,416230
,전라남도 무안군 일로읍 지장리,20210113,416230
에그린농장,전라남도 무안군 삼향읍 왕산리,20210123,415003
,전라남도 무안군 일로읍 지장리,20170317,416230
배로농장,전라남도 무안군 청계면 남성리,20210102,415003
오리골농장(김새들),전라남도 무안군 현경면 외반리,20170107,416230
수월농장,전라남도 무안군 망운면 피서리,20170112,416210
은수농장,전라남도 무안군 현경면 해운리,20221204,416210
서원농장,전라남도 무안군 일로읍 복룡리,20211214,416230
평산농장,전라남도 무안군 현경면 평산리,20221208,416210
재인농장,전라남도 무안군 일로읍 복룡리,20231206,416230
성하농장,전라남도 무안군 현경면 수양리,20260319,416299
죽산농장,전라남도 무안군 일로읍 죽산리,20220101,416230
국민축산,전라남도 무안군 해제면 천장리,20240104,416230
은수농장,전라남도 무안군 현경면 해운리,20240126,416210
유진농장,전라남도 무안군 현경면 오류리,20221210,416210
장곡제일농장,전라남도 무안군 삼향읍 지산리,20221212,416230
