FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
김기수,전라북도 정읍시 영원면 앵성리,20080407,416299
이재열,전라북도 정읍시 고부면 관청리,20080411,416230
전오동,전라북도 정읍시 영원면 은선리,20080411,416230
에덴종계장,전라북도 정읍시 소성면 화룡리,20080419,415099
조현석,전라북도 정읍시 입암면 단곡리,20150501,416230
조병익,전라북도 정읍시 입암면 접지리,20140211,416230
김성수,전라북도 정읍시 소성면 고교리,20150121,416230
다산농원,전라북도 정읍시 소성면 고교리,20150121,416230
유기성,전라북도 정읍시 이평면 장내리,20140211,416299
이세종,전라북도 정읍시 소성면 고교리,20150126,416210
조병익,전라북도 정읍시 입암면 접지리,20140217,416230
입암농장,전라북도 정읍시 입암면 첨단과학로 30-24,20140217,416210
삼산농장,전라북도 정읍시 삼산동,20140217,415003
강정옥,전라북도 정읍시 정우면 대사리,20150225,416230
김경민,전라북도 정읍시 고부면 백운리,20140124,416230
유종수,전라북도 정읍시 영원면 앵성리,20140201,416230
박하담,전라북도 정읍시 영원면 앵성리,20140131,416230
조영신,전라북도 정읍시 입암면 하부리,20140202,416230
이수경,전라북도 정읍시 이평면 청량리,20140202,416210
강정순,전라북도 정읍시 이평면 장내리,20140206,416210
이해근,전라북도 정읍시 고부면 관청리,20150326,416230
,전라북도 정읍시 고부면 신중리,20161226,415002
,전라북도 정읍시 고부면 신흥리,20161213,416230
,전라북도 정읍시 소성면 고교리,20161216,416230
,전라북도 정읍시 소성면 고교리,20161216,416210
케이원파트너스,전라북도 정읍시 이평면 청량리,20161231,416230
,전라북도 정읍시 고부면 용흥리,20161208,416230
,전라북도 정읍시 고부면 용흥리,20161209,416230
김형환,전라북도 정읍시 고부면 관청리,20161209,416230
,전라북도 정읍시 고부면 관청리,20161209,416230
이재열,전라북도 정읍시 고부면 관청리,20161209,416230
이종문,전라북도 정읍시 고부면 신흥리,20161213,416230
김성희,전라북도 정읍시 고부면 입석리,20161213,416230
박배성,전라북도 정읍시 정우면 대사리,20161221,416230
,전라북도 정읍시 고부면 덕안리,20161221,415002
박하담,전라북도 정읍시 영원면 앵성리,20161221,416230
한우리농장,전라북도 정읍시 정우면 대사리 1574,20201211,416230
해성농장,전라북도 정읍시 입암면 단곡리,20201228,416230
,전라북도 정읍시 정우면 우일리,20210113,416210
안태웅,전라북도 정읍시 고부면 관청리,20161213,416230
,전라북도 정읍시 고부면 용흥리,20161213,416230
,전라북도 정읍시 소성면 기린리,20201128,416230
,전라북도 정읍시 이평면 장내리,20161231,415005
다산농원,전라북도 정읍시 소성면 고교리,20161221,416230
덕앤덕농장,전라북도 전라부도 정읍시 소성면 애당리 177-2,20161222,416210
변재순,전라북도 정읍시 소성면 화룡리,20161224,415005
유기성,전라북도 정읍시 이평면 장내리,20170102,416230
김영임,전라북도 정읍시 이평면 장내리,20171223,416230
금호2농장,전라북도 정읍시 영원면 앵성2길 106-16,20220206,416230
,전라북도 정읍시 소성면 기린리,20220208,415006
임마뉴엘,전라북도 정읍시 정우면,20220107,416210
마동농장,전라북도 정읍시 소성면 등계리 49,20230222,415002
지성농장,전라북도 정읍시 정우면 우산리 286-28,20230224,415002
대성축산,전라북도 정읍시 용계동,20230224,415003
본촌Duck,전라북도 정읍시 소성면 고교리,20230309,416230
태인,전라북도 정읍시 옹동면 상산리,20221231,416230
