FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
대길농장,충청북도 청주시 청원구 북이면 대길리,20140306,416230
,충청북도 청주시 흥덕구 오송읍 쌍청리,20161201,416230
동평농장,충청북도 청주시 흥덕구 오송읍 동평리,20161203,415003
,충청북도 청주시 흥덕구 오송읍 오송리,20161206,415006
최경숙,충청북도 청주시 흥덕구 오송읍 동평리,20161214,415002
최동출,충청북도 청주시 흥덕구 강내면 궁현리,20161212,415002
,충청북도 청주시 청원구 오창읍 도암리,20221104,416230
선경농장,충청북도 청주시 상당구 미원면 계원리,20221111,416210
동평양계장,충청북도 청주시 흥덕구 오송읍 동평리,20250321,415003
삼애농원,충청북도 청주시 청원구 북이면 화하리,20250405,416230
삼애농원,충청북도 청주시 청원구 북이면 화하리,20221105,416230
짱구농장,충청북도 청주시 청원구 북이면 화상리,20221105,415006
DUK농장,충청북도 청주시 상당구 미원면 월용리,20221118,416210
농업회사법인 나래 주식회사,충청북도 청주시 청원구 북이면 화상리,20221109,416498
주성농장,충청북도 청주시 청원구 오창읍 괴정리,20221110,416230
