시군명,농장명,축종명,상세구분,사육두수(마리),소재지지번주소,WGS84위도,WGS84경도,FARM_NM,FARM_LOCPLC,OCCRRNC_DE,LVSTCKSPC_CODE
공주시,아름농장,,,,,,,아름농장,충청남도 공주시 탄천면 남산리,20140512,415003
공주시,신기부화장,,,,,,,신기부화장,충청남도 공주시 계룡면 경천리,20170401,415005
논산시,홍성진,,,,,,,홍성진,충청남도 논산시 부적면 외성리,20080425,416240
논산시,서점복,,,,,,,서점복,충청남도 논산시 연무읍 마전리,20140224,415005
논산시,금강LF,,,,,,,금강LF,충청남도 논산시 광석면 사월리,20170322,415003
논산시,배용모,,,,,,,배용모,충청남도 논산시 노성면 송당리,20170330,415004
논산시,대경농장,,,,,,,대경농장,충청남도 논산시 광석면 광리,20201230,415006
논산시,전종관,,,,,,,전종관,충청남도 논산시 은진면 토양리,20170304,415002
논산시,세종우리농장,,,,,,,세종우리농장,충청남도 논산시 채운면 우기리,20260409,416299
논산시,진성농장,,,,,,,진성농장,충청남도 논산시 연무읍 황화정리,20220219,416230
당진시,대영농장,,,,,,,대영농장,충청남도 당진시 신평면 금천리,20140312,415005
당진시,블레스농장,,,,,,,블레스농장,충청남도 당진시 정미면 대운산리,20140314,415005
당진시,구현숙,,,,,,,구현숙,충청남도 당진시 합덕읍 석우리,20180205,415005
당진시,한국영농,,,,,,,한국영농,충청남도 당진시 송산면 유곡리,20250110,415011
당진시,거성농장,,,,,,,거성농장,충청남도 당진시 합덕읍 대전리,20220213,415003
당진시,에이스 농장,,,,,,,에이스 농장,충청남도 당진시 고대면 옥현리,20260116,415003
보령시,송덕농장,,,,,,,송덕농장,충청남도 보령시 청소면 진죽리,20220207,415002
보령시,케이팜,,,,,,,케이팜,충청남도 보령시 청소면 진죽리,20251218,415003
보령시,농업회사법인 (주)한국원종 천북농장,,,,,,,농업회사법인 (주)한국원종 천북농장,충청남도 보령시 천북면 궁포리,20260121,415011
부여군,엄성용,,,,,,,엄성용,충청남도 부여군 홍산면 북촌리,20140125,415005
서산시,이종윤,,,,,,,이종윤,충청남도 서산시 인지면 성리,20170106,415002
서산시,성호농장,,,,,,,성호농장,충청남도 서산시 고북면 사기리,20241126,416250
서산시,성호농장,,,,,,,성호농장,충청남도 서산시 고북면 사기리,20250615,416230
서산시,형제농장,,,,,,,형제농장,충청남도 서산시 부석면 갈마리,20230222,416498
아산시,이권영양근웅,,,,,,,이권영양근웅,충청남도 아산시 탕정면 용두리,20040205,416200
아산시,김한석,,,,,,,김한석,충청남도 아산시 탕정면 용두리,20061223,416240
아산시,이명복,,,,,,,이명복,충청남도 아산시 음봉면 산동리,20110107,415003
아산시,송란경,,,,,,,송란경,충청남도 아산시 신창면 궁화리,20150331,416230
아산시,,,,,,,,,충청남도 아산시 인주면 해암리,20161205,415003
아산시,한흥종계,,,,,,,한흥종계,충청남도 아산시 배방읍 세교리,20161214,415005
아산시,,,,,,,,,충청남도 아산시 염치읍 쌍죽리,20161216,415003
아산시,계림농장,,,,,,,계림농장,충청남도 아산시 신창면 읍내리,20161205,415003
아산시,신창농장,종계/산란계,,48000.0,충청남도 아산시 신창면 궁화리 166-20,,,신창농장,충청남도 아산시 신창면 궁화리 166-20,20161219,415003
아산시,덕연농장,,,,,,,덕연농장,충청남도 아산시 신창면 오목리,20161212,415003
아산시,,,,,,,,,충청남도 아산시 신창면 오목리,20161212,415003
아산시,,,,,,,,,충청남도 아산시 신창면 읍내리,20161207,415003
아산시,대한농장,종계/산란계,,150336.0,충청남도 아산시 둔포면 염작리 289-17,,,대한농장,충청남도 아산시 둔포면 염작리 289-17,20170111,415003
아산시,장일농장,,,,,,,장일농장,충청남도 아산시 선장면 대흥리,20161208,416210
아산시,영양축산,,,,,,,영양축산,충청남도 아산시 둔포면 봉재리,20161226,416230
아산시,,,,,,,,,충청남도 아산시 신창면 행목리,20161125,415003
아산시,초록축산,,,,,,,초록축산,충청남도 아산시 둔포면 염작리,20180318,415003
아산시,,,,,,,,,충청남도 아산시 둔포면 운교리,20170114,415005
아산시,군자팜,,,,,,,군자팜,충청남도 아산시 신창면 오목리,20220210,415003
아산시,백운농장,오리,,31980.0,충청남도 아산시 둔포면 신남리 681-10 외 2(681-11/ 678-2),,,백운농장1,충청남도 아산시 둔포면 신남리,20240209,416230
아산시,,,,,,,,,충청남도 아산시 음봉면 산정리,20211215,415003
아산시,시우농장,육계,,153000.0,충청남도 아산시 음봉면 신정리 318-2,,,시우농장,충청남도 아산시 음봉면 신정리 318-2,20250420,415002
아산시,농업회사법인 에이치비(주)예산농장,메추리,,320000.0,충청남도 아산시 도고면 효자리 13-1,,,농업회사법인 에이치비(주) 예산농장,충청남도 아산시 도고면 효자리,20260310,416498
아산시,장수농장,,,,,,,장수농장,충청남도 아산시 음봉면 신정리,20251226,415098
아산시,한미농장,종계/산란계,,42406.0,충청남도 아산시 음봉면 덕지리 26-4,,,한미농장,충청남도 아산시 음봉면 덕지리 26-4,20250405,415003
아산시,우림농원,종계/산란계,,40000.0,충청남도 아산시 선장면 죽산리 103-5,,,우림농원,충청남도 아산시 선장면 죽산리 103-5,20231209,415003
예산군,계림,,,,,,,계림,충청남도 예산군 고덕면 석곡리,20201226,415005
예산군,(주)농업회사법인덕연,,,,,,,(주)농업회사법인덕연,충청남도 예산군 신암면 두곡리,20220130,415003
예산군,토리원,,,,,,,토리원,충청남도 예산군 고덕면 상궁리,20220209,416498
예산군,,,,,,,,,충청남도 예산군 덕산면 낙상리,20221227,415003
예산군,덕연(주) 신암농장,,,,,,,덕연(주) 신암농장,충청남도 예산군 신암면 두곡리,20260206,415003
천안시,박광호,,,,,,,박광호,충청남도 천안시 서북구 직산읍 석곡리,20040104,416240
천안시,소망농장,종계/산란계,,82000.0,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호,,,소망농장,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호,20040126,415003
천안시,유재근,,,,,,,유재근,충청남도 천안시 서북구 직산읍 신갈리,20031226,415006
천안시,박병준,,,,,,,박병준,충청남도 천안시 동남구 북면 운용리,20031220,416200
천안시,양지농장,육계,,54560.0,"충청남도 천안시 동남구 수신면 신풍리 ***번지 외 *(***, ***)",,,양지농장,"충청남도 천안시 동남구 수신면 신풍리 ***번지 외 *(***, ***)",20031221,416200
천안시,수호농장,종계/산란계,,36064.0,"충청남도 천안시 동남구 풍세면 가송리 ***번지 *호 외 *(***, ***-*)",,,은아수농장,충청남도 천안시 동남구 풍세면 용정리,20070120,415003
천안시,(주)사조2농장,,,,,,,(주)사조2농장,충청남도 천안시 동남구 동면 화계리,20070308,416240
천안시,진원농장,종계/산란계,,23432.0,"충청남도 천안시 동남구 병천면 도원리 ***번지 외 *필지(***-*, ***-*, ***-*, ***, ***-*, ***-*)",,,도원농장,충청남도 천안시 동남구 병천면 도원리,20140308,416230
천안시,대진농장,오리,,8498.0,충청남도 천안시 동남구 병천면 매성리 ***번지 ***,,,동진농장,충청남도 천안시 동남구 병천면 탑원리,20140308,416230
천안시,문화농장,육계,,100000.0,충청남도 천안시 동남구 성남면 석곡리 **번지 **호 외 *필지(**-**),,,문화농장,충청남도 천안시 동남구 성남면 석곡리 **번지 **호 외 *필지(**-**),20140410,415006
천안시,하은자,,,,,,,하은자,충청남도 천안시 동남구 목천읍 운전리,20140321,416210
천안시,김구연,,,,,,,김구연,충청남도 천안시 동남구 성남면 대흥리,20140321,416210
천안시,(주)화인코리아,,,,,,,(주)화인코리아,충청남도 천안시 동남구 동면 화계리,20140312,416210
천안시,진우농장,오리,,20280.0,"충청남도 천안시 동남구 동면 장송리 **번지 *호 외 *필지(**-*,**-*,**-*)",,,진우농장,"충청남도 천안시 동남구 동면 장송리 **번지 *호 외 *필지(**-*,**-*,**-*)",20140314,415003
천안시,이승우,,,,,,,이승우,충청남도 천안시 동남구 수신면 신풍리,20140325,415002
천안시,흥인농장,종계/산란계,,34944.0,충청남도 천안시 서북구 직산읍 판정리 ***번지 *호,,,부흥농장,충청남도 천안시 서북구 직산읍 판정리,20140128,416210
천안시,대풍농장,종계/산란계,,50000.0,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***-*, ***-*, ***-*)",,,대풍농장,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***-*, ***-*, ***-*)",20140403,415003
천안시,김기훈,,,,,,,김기훈,충청남도 천안시 동남구 성남면 석곡리,20140411,415003
천안시,전관규,,,,,,,전관규,충청남도 천안시 동남구 풍세면 보성리,20140217,416230
천안시,구성농장,종계/산란계,,18624.0,"충청남도 천안시 동남구 풍세면 용정리 ***번지 *호 외 *(***-*,**)",,,구성농장(2),충청남도 천안시 동남구 풍세면 용정리,20140219,415003
천안시,이 재홍,,,,,,,이 재홍,충청남도 천안시 동남구 성남면 대흥리,20150202,416230
천안시,주현2농장,종계/산란계,,129000.0,충청남도 천안시 동남구 풍세면 보성리 **번지 *호,,,주현 2농장,충청남도 천안시 동남구 풍세면 보성리,20140225,415003
천안시,병천농장,,,,,,,병천농장,충청남도 천안시 동남구 병천면 도원리,20140225,415003
천안시,박영숙,,,,,,,박영숙,충청남도 천안시 동남구 풍세면 보성리,20140304,416398
천안시,축산과학원,,,,,,,축산과학원,충청남도 천안시 서북구 성환읍 어룡리,20140304,416210
천안시,박영배,,,,,,,박영배,충청남도 천안시 동남구 성남면 대흥리,20150204,416210
천안시,영광2목장,,,,,,,영광2목장,충청남도 천안시 동남구 풍세면 보성리,20140217,416210
천안시,화인코리아 북면부화장,,,,,,,화인코리아 북면부화장,충청남도 천안시 동남구 북면 운용리,20110302,416210
천안시,표세욱,,,,,,,표세욱,충청남도 천안시 서북구 직산읍 판정리,20110117,416210
천안시,양지농원,,,,,,,양지농원,충청남도 천안시 서북구 직산읍 석곡리,20110119,416230
천안시,흥인농장,종계/산란계,,34944.0,충청남도 천안시 서북구 직산읍 판정리 ***번지 *호,,,부흥농장,충청남도 천안시 서북구 직산읍 판정리,20110117,416210
천안시,현명축산,,,,,,,현명축산,충청남도 천안시 동남구 풍세면 용정리,20150313,415005
천안시,김경태,,,,,,,김경태,충청남도 천안시 동남구 풍세면 풍서리,20101231,416299
천안시,,,,,,,,,충청남도 천안시 동남구 동면 동산리,20161128,416230
천안시,대풍농장,종계/산란계,,50000.0,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***-*, ***-*, ***-*)",,,대풍농장,"충청남도 천안시 동남구 성남면 대흥리 ***번지 *호 외 *필지(***-*, ***-*, ***-*)",20161224,415003
천안시,한일농장,종계/산란계,,26000.0,충청남도 천안시 서북구 성환읍 양령리 **번지 *호,,,한마음농장,충청남도 천안시 서북구 성환읍 왕림리,20161224,415003
천안시,,,,,,,,,충청남도 천안시 서북구 직산읍 마정리,20161228,415003
천안시,하림농장,,,,,,,하림농장,충청남도 천안시 동남구 수신면 신풍리,20161228,415006
천안시,하은자,,,,,,,하은자,충청남도 천안시 동남구 목천읍 운전리,20161228,416210
천안시,,,,,,,,,충청남도 천안시 동남구 병천면 봉항리,20161130,416230
천안시,,,,,,,,,충청남도 천안시 동남구 풍세면 보성리,20161205,416210
천안시,,,,,,,,,충청남도 천안시 동남구 동면 화계리,20161205,416210
천안시,,,,,,,,,충청남도 천안시 동남구 풍세면 가송리,20161207,415003
천안시,,,,,,,,,충청남도 천안시 동남구 병천면 관성리,20161215,415003
천안시,,,,,,,,,충청남도 천안시 동남구 병천면 탑원리,20161215,416230
천안시,,,,,,,,,충청남도 천안시 서북구 성환읍 도하리,20161216,415003
천안시,,,,,,,,,충청남도 천안시 동남구 목천읍 소사리,20161216,415003
천안시,,,,,,,,,충청남도 천안시 동남구 풍세면 가송리,20161216,415003
천안시,성환농장,종계/산란계,,21427.0,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호,,,보성농장,충청남도 천안시 서북구 성환읍 신가리,20161216,415003
천안시,,,,,,,,,충청남도 천안시 동남구 풍세면 풍서리,20170109,415002
천안시,영창농장,종계/산란계,,151200.0,충청남도 천안시 동남구 풍세면 가송리 ***번지,,,영창농장,충청남도 천안시 동남구 풍세면 가송리 ***번지,20161217,415003
천안시,가송농장,육계,,39246.0,충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호,,,가송농장,충청남도 천안시 동남구 풍세면 풍서리 ***번지 *호,20161217,415002
천안시,KP에그,,,,,,,KP에그,충청남도 천안시 동남구 동면 행암리,20161218,415003
천안시,황금오리(2농장),,,,,,,황금오리(2농장),충청남도 천안시 동남구 광덕면 매당리,20161218,416230
천안시,복농장,육계,,45000.0,"충청남도 천안시 동남구 성남면 신덕리 **번지 *호 외 *필지(**-*, **-*)",,,복농장,"충청남도 천안시 동남구 성남면 신덕리 **번지 *호 외 *필지(**-*, **-*)",20161218,415002
천안시,이레농장,종계/산란계,,94600.0,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호,,,이레농장,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호,20161219,415003
천안시,,,,,,,,,충청남도 천안시 동남구 신방동,20161224,416299
천안시,성환농장,종계/산란계,,21427.0,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호,,,은성농장,충청남도 천안시 서북구 성환읍 매주리,20161231,415003
천안시,,,,,,,,,충청남도 천안시 동남구 동면 화계리,20161212,416210
천안시,소망농장,종계/산란계,,82000.0,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호,,,소망농장,충청남도 천안시 동남구 풍세면 용정리 ***번지 *호,20161207,415003
천안시,주현2농장,종계/산란계,,129000.0,충청남도 천안시 동남구 풍세면 보성리 **번지 *호,,,주현 2농장,충청남도 천안시 동남구 풍세면 보성리,20161208,415003
천안시,시골축산,종계/산란계,,73440.0,충청남도 천안시 동남구 성남면 대흥리 ***번지,,,시골축산,충청남도 천안시 동남구 성남면 대흥리 ***번지,20161222,415003
천안시,경치농장,육계,,57000.0,충청남도 천안시 동남구 풍세면 보성리 ***번지 *호 외 *필지(산*-*),,,경치농장,충청남도 천안시 동남구 풍세면 보성리 ***번지 *호 외 *필지(산*-*),20161222,415003
천안시,번영농장,육계,,125873.0,충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외*필지,,,번영농장,충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외*필지,20161223,416230
천안시,정필농장,육계,,176465.0,"충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외 *(**-*,**,**)",,,정필농장,"충청남도 천안시 서북구 성환읍 성환리 **번지 **호 외 *(**-*,**,**)",20161223,416230
천안시,한일농장,종계/산란계,,26000.0,충청남도 천안시 서북구 성환읍 양령리 **번지 *호,,,한일농장,충청남도 천안시 서북구 성환읍 양령리 **번지 *호,20161223,415003
천안시,선민농장,,,,,,,선민농장,충청남도 천안시 동남구 성남면 봉양리,20161226,415003
천안시,성남농장,종계/산란계,,187000.0,"충청남도 천안시 동남구 성남면 봉양리 ***번지 외*필지(***-*,***-*,***-*,***)",,,성남농장,"충청남도 천안시 동남구 성남면 봉양리 ***번지 외*필지(***-*,***-*,***-*,***)",20161226,415003
천안시,다온농장,육계,,146600.0,"충청남도 천안시 서북구 입장면 연곡리 ***번지 *호 외 *필지(***-*, ***-*)",,,시온농장,충청남도 천안시 서북구 입장면 가산리,20161226,415003
천안시,하나로로그팜,,,,,,,하나로로그팜,충청남도 천안시 동남구 병천면 도원리,20161221,415003
천안시,,,,,,,,,충청남도 천안시 동남구 성남면 대흥리,20201225,416210
천안시,대현농장,오리,,19560.0,충청남도 천안시 동남구 병천면 매성리 **번지 외 *필지,,,대현농장,충청남도 천안시 동남구 병천면 매성리 **번지 외 *필지,20210105,416230
천안시,김명선,,,,,,,김명선,충청남도 천안시 서북구 성환읍 양령리,20180209,415003
천안시,이레농장,종계/산란계,,94600.0,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호,,,이레농장,충청남도 천안시 서북구 성환읍 도하리 ***번지 *호,20210114,415003
천안시,으뜸농장,종계/산란계,,100000.0,충청남도 천안시 서북구 직산읍 수헐리 **번지 *호,,,으뜸농장,충청남도 천안시 서북구 직산읍 수헐리 **번지 *호,20210123,415003
천안시,,,,,,,,,충청남도 천안시 동남구 성남면 대흥리,20161226,416230
천안시,지완농원,,,,,,,지완농원,충청남도 천안시 서북구 성환읍 대홍리,20201215,416398
천안시,천안농장,,,,,,,천안농장,충청남도 천안시 서북구 성환읍 신가리,20210104,415003
천안시,거성농장,,,,,,,거성농장,충청남도 천안시 동남구 목천읍 소사리,20161221,415005
천안시,조혁제,,,,,,,조혁제,충청남도 천안시 서북구 성환읍 양령리,20161226,415003
천안시,키움축산,육계,,110000.0,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호,,,키움축산,충청남도 천안시 서북구 성환읍 양령리 ***번지 *호,20161230,415006
천안시,,,,,,,,,충청남도 천안시 서북구 입장면 호당리,20170104,415003
천안시,,,,,,,,,충청남도 천안시 동남구 성남면 용원리,20170106,416498
천안시,주현2농장,종계/산란계,,129000.0,충청남도 천안시 동남구 풍세면 보성리 **번지 *호,,,주현 2농장,충청남도 천안시 동남구 풍세면 보성리,20220125,415003
천안시,,,,,,,,,충청남도 천안시 서북구 성환읍 신가리,20220203,415003
천안시,가덕농장,육계,,60192.0,충청남도 천안시 동남구 풍세면 가송리 ***번지 *호,,,가덕농장,충청남도 천안시 동남구 풍세면 가송리 ***번지 *호,20220204,415002
천안시,농업회사법인양지팜(유),종계/산란계,,748224.0,충청남도 천안시 서북구 성환읍 신가리 ***번지 *호,,,농업회사법인양지팜(유),충청남도 천안시 서북구 성환읍 신가리 ***번지 *호,20240106,415009
천안시,,,,,,,,,충청남도 천안시 동남구 풍세면 가송리,20211212,415003
천안시,청운농장,종계/산란계,,100800.0,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호,,,청운농장,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호,20211205,415003
천안시,유전농장,,,,,,,유전농장,충청남도 천안시 동남구 동면 화계리,20221110,416210
천안시,흥인농장,종계/산란계,,34944.0,충청남도 천안시 서북구 직산읍 판정리 ***번지 *호,,,흥인농장,충청남도 천안시 서북구 직산읍 판정리 ***번지 *호,20251210,415003
천안시,케이앤피에그팜,종계/산란계,,120000.0,충청남도 천안시 동남구 동면 행암리 ***번지 외 *필지,,,케이앤피에그팜,충청남도 천안시 동남구 동면 행암리 ***번지 외 *필지,20251230,415003
천안시,주현2농장,종계/산란계,,129000.0,충청남도 천안시 동남구 풍세면 보성리 **번지 *호,,,주현 2농장,충청남도 천안시 동남구 풍세면 보성리,20250309,415003
천안시,김준석,,,,,,,김준석,충청남도 천안시 동남구 풍세면 가송리,20250320,415003
천안시,농업회사법인주식회사다알,종계/산란계,,168480.0,충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호,,,농업회사법인주식회사다알,충청남도 천안시 서북구 성환읍 왕림리 ***번지 *호,20260117,415003
천안시,청운농장,종계/산란계,,100800.0,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호,,,청운농장,충청남도 천안시 동남구 풍세면 용정리 ***번지 **호,20250326,415098
천안시,성남농장,종계/산란계,,187000.0,"충청남도 천안시 동남구 성남면 봉양리 ***번지 외*필지(***-*,***-*,***-*,***)",,,성남농장,"충청남도 천안시 동남구 성남면 봉양리 ***번지 외*필지(***-*,***-*,***-*,***)",20250404,415003
청양군,사리골농장,,,,,,,사리골농장,충청남도 청양군 운곡면 위라리,20140217,415003
청양군,조윤행,,,,,,,조윤행,충청남도 청양군 청남면 왕진리,20140304,416230
청양군,용천양계,,,,,,,용천양계,충청남도 청양군 비봉면 양사리,20150313,415003
청양군,용천양계,,,,,,,용천양계,충청남도 청양군 비봉면 양사리,20170225,415003
청양군,농업회사법인 코코스팜 주식회사,,,,,,,농업회사법인 코코스팜 주식회사,충청남도 청양군 비봉면 양사리,20241216,415003
